Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3208760000.0,1266901000.0,1941859000.0,319450000.0,982120000.0,640289100.0,141919000.0,-416817000.0,106205000.0,82653000.0,-25131000.0,107784000.0,108739000.0,0.32,0.6052,0.1995,0.0258,0.0339,0.15,948609000.0,640288900.0,0.3988,,0.3452,,0.3578,107784000.0,,107784000.0,0.2956,0.1704,MTCH
2022-06-30 00:00:00,3201049000.0,1257035000.0,1944014000.0,298544000.0,995226000.0,650244100.0,136955000.0,-457255000.0,136955000.0,56034000.0,-54385000.0,110419000.0,111253000.0,0.32,0.6073,0.2031,0.0175,0.0348,0.1586,963449000.0,650243900.0,0.3888,,0.3618,,0.3678,110419000.0,,110419000.0,0.301,0.182,MTCH
2022-03-31 00:00:00,3114296000.0,968267000.0,2146029000.0,264267000.0,1001220000.0,870239100.0,133551000.0,-495120000.0,133551000.0,273787000.0,-9017000.0,282804000.0,284006000.0,0.95,0.6891,0.2794,0.0879,0.0912,0.307,952720000.0,870238900.0,0.9588,,0.9934,,0.9978,282804000.0,,283313000.0,0.3059,0.3351,MTCH
2021-12-31 00:00:00,2983277000.0,888296000.0,2094981000.0,241049000.0,981280000.0,851679100.0,130493000.0,-529095000.0,130493000.0,256148000.0,-19897000.0,276045000.0,277723000.0,1.0,0.7022,0.2855,0.0859,0.0931,0.2794,921640000.0,851678900.0,0.93,0.3616,1.0056,0.3619,1.01,276045000.0,,276554000.0,0.3089,0.3062,MTCH
2021-09-30 00:00:00,2828614000.0,803198000.0,2025416000.0,219515000.0,941334000.0,832344000.0,139213000.0,-151729000.0,139213000.0,648765000.0,63817000.0,584948000.0,586934000.0,2.13,0.716,0.2943,0.2294,0.2075,0.3089,889737000.0,832344000.0,1.9297,,2.164,,2.1671,584948000.0,,585457000.0,0.3145,0.3311,MTCH
2021-06-30 00:00:00,2666549000.0,715640000.0,1950909000.0,191821000.0,903264000.0,811921100.0,150552000.0,-146449000.0,139372000.0,665472000.0,71312000.0,594160000.0,596931000.0,2.21,0.7316,0.3045,0.2496,0.2239,0.3026,855824100.0,811921100.0,1.9697,0.1816,2.2307,0.1619,2.2371,594160000.0,-365561000.0,595177000.0,0.3209,0.3238,MTCH
2021-03-31 00:00:00,2514239000.0,671394000.0,1842845000.0,181617000.0,819958000.0,797601100.0,163980000.0,-131216000.0,141904000.0,666385000.0,70848000.0,595537000.0,530953000.0,2.05,0.733,0.3172,0.265,0.2112,0.3217,841270100.0,797601100.0,2.0497,,2.2946,,2.3271,595537000.0,,561434000.0,0.3346,0.3387,MTCH
2020-12-31 00:00:00,2391269000.0,635833000.0,1755436000.0,169811000.0,791114000.0,745715100.0,,-126099000.0,141960000.0,619616000.0,40393000.0,579223000.0,153873000.0,-1.09,0.7341,0.3118,0.2591,0.0643,0.312,794511100.0,745715100.0,2.1,-1.43,0.6949,-1.64,2.37,579223000.0,-698037000.0,213153000.0,0.3323,0.3298,MTCH
2020-09-30 00:00:00,2287029000.0,604640000.0,1682389000.0,163376000.0,750945000.0,714482100.0,,-125757000.0,139234000.0,588725000.0,29747000.0,558978000.0,113719000.0,-0.43,0.7356,0.3124,0.2574,0.0497,0.2875,768068100.0,714482100.0,2.08,-1.7661,0.8493,-1.9743,2.36,558978000.0,-361732000.0,197246000.0,0.3358,0.3055,MTCH
2020-06-30 00:00:00,2188752000.0,573042000.0,1615710000.0,160705000.0,714374000.0,689551000.0,,-128030000.0,146218000.0,561521000.0,4865000.0,556656000.0,101056000.0,0.58,0.7382,0.315,0.2565,0.0462,0.3118,740631000.0,689551000.0,2.13,-1.6678,1.1871,-1.8662,2.42,556656000.0,-340259000.0,216397000.0,0.3384,0.3283,MTCH
