Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,30758000000.0,16860000000.0,13898000000.0,3116000000.0,1066000000.0,9702000000.0,189000000.0,210000000.0,96000000.0,4000000.0,9571000000.0,888000000.0,8683000000.0,8687000000.0,7.73,0.4518,0.3154,0.3112,0.2824,0.1301,16832000000.0,9702000000.0,7.7425,7.812,7.812,8687000000.0,8687000000.0,0.5472,0.4936,MU
2022-05-31 00:00:00,32389000000.0,17209000000.0,15180000000.0,2982000000.0,1022000000.0,11136000000.0,191000000.0,222000000.0,51000000.0,23000000.0,10954000000.0,1062000000.0,9892000000.0,9915000000.0,8.77,0.4687,0.3438,0.3382,0.3061,0.1762,18031000000.0,11136000000.0,8.7729,8.8713,8.8713,9915000000.0,9915000000.0,0.5567,0.472,MU
2022-02-28 00:00:00,31169000000.0,16898000000.0,14271000000.0,2879000000.0,988000000.0,9931000000.0,193000000.0,215000000.0,77000000.0,21000000.0,9772000000.0,769000000.0,9003000000.0,9024000000.0,7.98,0.4579,0.3186,0.3135,0.2895,0.1846,16568000000.0,9931000000.0,7.9456,8.0575,8.0575,9024000000.0,9024000000.0,0.5316,0.4816,MU
2021-11-30 00:00:00,29619000000.0,17375000000.0,12244000000.0,2728000000.0,939000000.0,8048000000.0,180000000.0,246000000.0,107000000.0,28000000.0,7898000000.0,562000000.0,7336000000.0,7364000000.0,6.52,0.4134,0.2717,0.2667,0.2486,0.1612,14417000000.0,8048000000.0,6.47,6.5736,6.5736,7364000000.0,7364000000.0,0.4867,0.4875,MU
2021-08-31 00:00:00,27705000000.0,17290000000.0,10415000000.0,2663000000.0,894000000.0,6283000000.0,183000000.0,17000000.0,145000000.0,37000000.0,6218000000.0,394000000.0,5824000000.0,5861000000.0,5.2,0.3759,0.2268,0.2244,0.2116,0.088,12505000000.0,6283000000.0,5.1368,5.233,5.233,5861000000.0,5861000000.0,0.4514,0.45,MU
2021-05-31 00:00:00,25487000000.0,16908000000.0,8579000000.0,2588000000.0,889000000.0,4485000000.0,186000000.0,-78000000.0,186000000.0,24000000.0,4407000000.0,300000000.0,4107000000.0,4129000000.0,3.7,0.3366,0.176,0.1729,0.162,0.022,10625000000.0,4485000000.0,3.6238,3.6979,3.6979,4131000000.0,4131000000.0,0.4169,0.4259,MU
2021-02-28 00:00:00,23503000000.0,16287000000.0,7216000000.0,2567000000.0,875000000.0,3574000000.0,191000000.0,-103000000.0,191000000.0,33000000.0,3471000000.0,303000000.0,3168000000.0,3197000000.0,2.87,0.307,0.1521,0.1477,0.136,-0.0282,9583000000.0,3574000000.0,2.8215,2.8748,2.8748,3201000000.0,3201000000.0,0.4077,0.3965,MU
2020-11-30 00:00:00,22064000000.0,15142000000.0,6922000000.0,2607000000.0,884000000.0,3351000000.0,195000000.0,-88000000.0,195000000.0,18000000.0,3263000000.0,276000000.0,2987000000.0,2999000000.0,2.7,0.3137,0.1519,0.1479,0.1359,-0.0343,9182000000.0,3351000000.0,2.6536,2.7027,2.7027,3005000000.0,3005000000.0,0.4162,0.3745,MU
2020-08-31 00:00:00,21435000000.0,14883000000.0,6552000000.0,2600000000.0,881000000.0,3003000000.0,,-20000000.0,194000000.0,7000000.0,2983000000.0,280000000.0,2703000000.0,2687000000.0,2.42,0.3057,0.1401,0.1392,0.1254,0.0039,8653000000.0,3003000000.0,2.3961,2.4414,2.4414,2710000000.0,2710000000.0,0.4037,0.3875,MU
2020-05-31 00:00:00,20249000000.0,14370000000.0,5879000000.0,2593000000.0,862000000.0,2496000000.0,,17000000.0,183000000.0,8000000.0,2513000000.0,215000000.0,2298000000.0,2260000000.0,2.04,0.2903,0.1233,0.1241,0.1116,0.0147,8025000000.0,2496000000.0,2.0993,2.1192,2.1192,2306000000.0,2306000000.0,0.3963,0.4083,MU
