Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),Income (Other),EBT,Income Tax Provision,Income after Tax,Minority Interest,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3812000000.0,4556000000.0,-744000000.0,,1274210000.0,-1957660200.0,586000000.0,1159000000.0,1574412100.0,,,-3364000000.0,-6000000.0,-3360150000.0,,-3360000000.0,-8.28,-0.1952,-0.5136,-0.8825,-0.8814,-0.5729,-1232000000.0,-1957660000.0,-8.2151,-8.2151,-8.2151,-3360150000.0,,-3360000000.0,-0.3232,-0.0898,NCLH
2022-06-30 00:00:00,2349000000.0,3700000000.0,-1350000000.0,,1127919000.0,-2461536100.0,594000000.0,1067000000.0,1583287100.0,,,-3904000000.0,5000000.0,-3910641000.0,,-3911000000.0,-9.87,-0.5747,-1.0479,-1.662,-1.665,-0.7937,-1705000000.0,-2461535900.0,-9.7992,-9.7992,-9.7992,-3910641000.0,,-3911000000.0,-0.7258,-0.4661,NCLH
2022-03-31 00:00:00,1166368000.0,2658727000.0,-1491359000.0,,984322000.0,-2669838100.0,606000000.0,872242000.0,1576169100.0,,,-4110862000.0,6927000.0,-4119109000.0,,-4119789000.0,-10.59,-1.2786,-2.289,-3.5245,-3.5322,-2.3739,-1883467000.0,-2669837900.0,-10.5242,-10.5242,-10.5242,-4119109000.0,,-4119789000.0,-1.6148,-1.7036,NCLH
2021-12-31 00:00:00,647468000.0,1937582000.0,-1289114000.0,,891310000.0,-2552348200.0,667337000.0,-99956000.0,2072925100.0,,,-4501326000.0,4655000.0,-4506587000.0,,-4506981000.0,-12.4,-1.991,-3.942,-6.9522,-6.9609,-4.9745,-1768925100.0,-2552348000.0,-12.3317,-12.3317,-12.3317,-4506587000.0,,-4506981000.0,-2.7321,-3.8118,NCLH
2021-09-30 00:00:00,170047100.0,1259574100.0,-1088527000.0,,804242000.0,-2412356500.0,673229000.0,-1092485000.0,1282110000.0,,,-3638735200.0,34179000.0,-3672799200.0,,-3672914000.0,-10.9,-6.4013,-14.1864,-21.3984,-21.5994,-20.0115,-1666394500.0,-2412356300.0,-9.8499,-9.8499,-9.8499,-3672799200.0,,-3672914000.0,-9.7996,-16.407,NCLH
2021-06-30 00:00:00,23565100.0,847731100.0,-824166000.0,,731898000.0,-2241033500.0,645147000.0,-1232829000.0,1260569000.0,,,-3473862200.0,30418000.0,-3504280200.0,,-3504280000.0,-11.11,-34.974,-95.0997,-147.4156,-148.7063,-137.5113,-1508344500.0,-2241033300.0,-10.0593,-10.0593,-10.0593,-3504280200.0,,-3504280000.0,-64.0076,-114.9971,NCLH
2021-03-31 00:00:00,36126100.0,899656100.0,-863530000.0,,677851000.0,-2231340400.0,596996000.0,-1250026000.0,1237847000.0,,,-3481366200.0,20368000.0,-3501734200.0,,-3501734000.0,-12.16,-23.9032,-61.7653,-96.3671,-96.9309,-105.9703,-1503108500.0,-2231340200.0,-11.1074,-11.1074,-11.1074,-3501734200.0,,-3501734000.0,-41.6073,-92.8845,NCLH
2020-12-31 00:00:00,1279908100.0,1693061000.0,-413153000.0,,745345000.0,-3484135300.0,465659000.0,-515912000.0,482313000.0,,,-4000047200.0,12467000.0,-4012514200.0,,-4012514000.0,-16.8,-0.3228,-2.7222,-3.1253,-3.135,-2.7367,-2744516400.0,-3484135100.0,-15.7522,-15.7522,-15.7522,-4012514200.0,,-4012514000.0,-2.1443,-1.9972,NCLH
2020-09-30 00:00:00,2750947000.0,2373491100.0,377455900.0,,788640000.0,-2737879300.0,370767000.0,-435868000.0,396315000.0,,,-3173747000.0,-21463000.0,-3152284000.0,,-3152284000.0,-13.72,0.1372,-0.9952,-1.1537,-1.1459,-1.2495,-2008066400.0,-2737879300.0,-13.7301,-13.723,-13.723,-3152284000.0,,-3152284000.0,-0.73,-0.5609,NCLH
2020-06-30 00:00:00,4658280000.0,3174098100.0,1484181800.0,,887132000.0,-1708372300.0,,-322461000.0,316839000.0,,,-2030833000.0,-6499000.0,-2024334000.0,,-2024334000.0,-9.12,0.3186,-0.3667,-0.436,-0.4346,-0.5358,-1008366400.0,-1708372300.0,-9.1437,-9.124,-9.124,-2024334000.0,,-2024334000.0,-0.2165,-0.1174,NCLH
