Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,162376000000.0,151213000000.0,11163000000.0,2484000000.0,11125000000.0,567000000.0,3675000000.0,437000000.0,13719000000.0,2969000000.0,10750000000.0,10403000000.0,21.86,0.0687,0.0685,0.0845,0.0641,0.0356,10353000000.0,11125000000.0,22.6057,,22.6752,,22.6752,10750000000.0,,10740000000.0,0.0638,0.0484,PSX
2022-06-30 00:00:00,148310000000.0,139482000000.0,8828000000.0,2158000000.0,4207000000.0,560000000.0,2906000000.0,430000000.0,7009000000.0,1311000000.0,5698000000.0,5415000000.0,11.61,0.0595,0.0284,0.0473,0.0365,0.0339,8191000000.0,4207000000.0,12.2448,,12.2754,,12.2754,5698000000.0,,5689000000.0,0.0552,0.0467,PSX
2022-03-31 00:00:00,126600000000.0,120512000000.0,6088000000.0,2104000000.0,604000000.0,570000000.0,3050000000.0,440000000.0,3339000000.0,449000000.0,2890000000.0,2547000000.0,5.74,0.0481,0.0048,0.0264,0.0201,0.0394,4018000000.0,604000000.0,6.5336,,6.5387,,6.5387,2890000000.0,,2884000000.0,0.0317,0.0544,PSX
2021-12-31 00:00:00,111628000000.0,105626000000.0,6002000000.0,2069000000.0,-582000000.0,581000000.0,2393000000.0,451000000.0,1740000000.0,146000000.0,1594000000.0,1313000000.0,2.96,0.0538,-0.0052,0.0156,0.0118,0.0372,2060000000.0,-582000000.0,3.6197,,3.6225,,3.6225,1594000000.0,,1590000000.0,0.0185,0.0539,PSX
2021-09-30 00:00:00,95495000000.0,89561000000.0,5934000000.0,2042000000.0,-2419000000.0,579000000.0,2681000000.0,579000000.0,-578000000.0,-307000000.0,-271000000.0,-497000000.0,-1.15,0.0621,-0.0253,-0.0061,-0.0052,0.0323,242000000.0,-2419000000.0,-0.6406,,-0.6393,,-0.6393,-271000000.0,,-273000000.0,0.0025,0.0509,PSX
2021-06-30 00:00:00,80967000000.0,74942000000.0,6025000000.0,2108000000.0,-3603000000.0,560000000.0,1227000000.0,560000000.0,-2376000000.0,-891000000.0,-1485000000.0,-1696000000.0,-3.88,0.0744,-0.0445,-0.0293,-0.0209,0.017,-2150000000.0,-3603000000.0,-3.4029,,-3.402,,-3.402,-1485000000.0,,-1485000000.0,-0.0266,0.0388,PSX
2021-03-31 00:00:00,64878000000.0,59332000000.0,5546000000.0,2079000000.0,-3822000000.0,534000000.0,565000000.0,534000000.0,-3257000000.0,-1331000000.0,-1926000000.0,-2133000000.0,-4.87,0.0855,-0.0589,-0.0502,-0.0329,-0.0025,-2391000000.0,-3822000000.0,-4.4048,,-4.4048,,-4.4048,-1926000000.0,,-1926000000.0,-0.0369,0.0334,PSX
2020-12-31 00:00:00,64129000000.0,57707000000.0,6422000000.0,2008000000.0,-5644000000.0,499000000.0,680000000.0,499000000.0,-4964000000.0,-1250000000.0,-3714000000.0,-3975000000.0,-9.04,0.1001,-0.088,-0.0774,-0.062,-0.0126,-4227000000.0,-5644000000.0,-8.45,,-8.45,,-8.45,-3714000000.0,,-3714000000.0,-0.0659,0.0329,PSX
2020-09-30 00:00:00,76845000000.0,68671000000.0,8174000000.0,2059000000.0,-4057000000.0,475000000.0,850000000.0,475000000.0,-3207000000.0,-797000000.0,-2410000000.0,-2700000000.0,-6.16,0.1064,-0.0528,-0.0417,-0.0351,-0.0068,-2657000000.0,-4057000000.0,-5.5132,,-5.4954,,-5.4954,-2410000000.0,,-2410000000.0,-0.0346,0.0412,PSX
2020-06-30 00:00:00,88134000000.0,77968000000.0,10166000000.0,2090000000.0,-1950000000.0,,1036000000.0,452000000.0,-914000000.0,-23000000.0,-891000000.0,-1189000000.0,-2.76,0.1153,-0.0221,-0.0104,-0.0135,0.0037,-566000000.0,-1950000000.0,-2.1008,,-2.0752,,-2.0752,-891000000.0,,-891000000.0,-0.0064,0.0492,PSX
2020-03-31 00:00:00,105068000000.0,92914000000.0,12154000000.0,2072000000.0,-166000000.0,,1526000000.0,450000000.0,1360000000.0,680000000.0,680000000.0,376000000.0,0.7,0.1157,-0.0016,0.0129,0.0036,0.0172,1209000000.0,-166000000.0,1.3532,,1.3926,,1.3926,680000000.0,,680000000.0,0.0115,0.0524,PSX
2019-12-31 00:00:00,107293000000.0,95529000000.0,11764000000.0,2090000000.0,2514000000.0,,1664000000.0,458000000.0,4178000000.0,801000000.0,3377000000.0,3076000000.0,6.8,0.1096,0.0234,0.0389,0.0287,0.0087,3878000000.0,2514000000.0,7.4402,,7.4817,,7.4817,3377000000.0,,3377000000.0,0.0361,0.0448,PSX
2019-09-30 00:00:00,107266000000.0,94075000000.0,13191000000.0,2036000000.0,4105000000.0,,1925000000.0,464000000.0,6030000000.0,1147000000.0,4883000000.0,4580000000.0,10.0,0.123,0.0383,0.0562,0.0427,0.0342,5466000000.0,4105000000.0,10.5249,,10.5852,,10.5852,4883000000.0,,4883000000.0,0.051,0.0676,PSX
2019-06-30 00:00:00,109836000000.0,96654000000.0,13182000000.0,2064000000.0,4882000000.0,,2180000000.0,480000000.0,7062000000.0,1404000000.0,5658000000.0,5360000000.0,11.62,0.12,0.0444,0.0643,0.0488,0.0243,6252000000.0,4882000000.0,12.1068,,12.1831,,12.1831,5658000000.0,,5658000000.0,0.0569,0.0562,PSX
2019-03-31 00:00:00,110969000000.0,97847000000.0,13122000000.0,2100000000.0,4790000000.0,,2278000000.0,500000000.0,7068000000.0,1510000000.0,5558000000.0,5275000000.0,11.35,0.1182,0.0432,0.0637,0.0475,0.0288,6164000000.0,4790000000.0,11.7824,,11.8659,,11.8659,5558000000.0,,5558000000.0,0.0555,0.0595,PSX
2018-12-31 00:00:00,111461000000.0,97930000000.0,13531000000.0,2102000000.0,5242000000.0,,2203000000.0,504000000.0,7445000000.0,1572000000.0,5873000000.0,5595000000.0,11.98,0.1214,0.047,0.0668,0.0502,0.0443,6621000000.0,5242000000.0,12.3892,,12.477,,12.477,5873000000.0,,5873000000.0,0.0594,0.0679,PSX
2018-09-30 00:00:00,112109000000.0,97184000000.0,14925000000.0,5517000000.0,3321000000.0,,1860000000.0,497000000.0,5181000000.0,-1631000000.0,6812000000.0,6553000000.0,13.42,0.1331,0.0296,0.0462,0.0585,0.0284,4709000000.0,3321000000.0,13.7973,,13.8949,,13.8949,6812000000.0,,6812000000.0,0.042,0.0479,PSX
2018-06-30 00:00:00,107948000000.0,90262000000.0,17686000000.0,8859000000.0,2845000000.0,,1617000000.0,484000000.0,4462000000.0,-1631000000.0,6093000000.0,5884000000.0,11.82,0.1638,0.0264,0.0413,0.0545,0.0316,4224000000.0,2845000000.0,12.1026,,12.1861,,12.1861,6093000000.0,,6093000000.0,0.0391,0.048,PSX
2018-03-31 00:00:00,103055000000.0,82868000000.0,20187000000.0,12113000000.0,2125000000.0,,1350000000.0,456000000.0,3475000000.0,-1795000000.0,5270000000.0,5095000000.0,10.02,0.1959,0.0206,0.0337,0.0494,0.0291,3487000000.0,2125000000.0,10.2427,,10.3103,,10.3103,5270000000.0,,5270000000.0,0.0338,0.0455,PSX
2017-12-31 00:00:00,102354000000.0,79409000000.0,22945000000.0,15157000000.0,2261000000.0,,1294000000.0,438000000.0,3555000000.0,-1693000000.0,5248000000.0,5106000000.0,9.97,0.2242,0.0221,0.0347,0.0499,0.0177,3601000000.0,2261000000.0,10.1214,,10.1885,,10.1885,5248000000.0,,5248000000.0,0.0352,0.0356,PSX
2017-09-30 00:00:00,96005000000.0,73874000000.0,22131000000.0,14855000000.0,1770000000.0,,1193000000.0,412000000.0,2963000000.0,776000000.0,2187000000.0,2071000000.0,3.99,0.2305,0.0184,0.0309,0.0216,0.0029,3069000000.0,1770000000.0,4.2078,,4.2287,,4.2287,2187000000.0,,2187000000.0,0.032,0.0248,PSX
2017-06-30 00:00:00,92002000000.0,70372000000.0,21630000000.0,14799000000.0,1419000000.0,,1101000000.0,381000000.0,2520000000.0,646000000.0,1874000000.0,1759000000.0,3.36,0.2351,0.0154,0.0274,0.0191,0.005,2674000000.0,1419000000.0,3.5759,,3.5925,,3.5925,1874000000.0,,1874000000.0,0.0291,0.0312,PSX
2017-03-31 00:00:00,89764000000.0,68217000000.0,21547000000.0,15019000000.0,1294000000.0,,1098000000.0,357000000.0,2392000000.0,583000000.0,1809000000.0,1705000000.0,3.24,0.24,0.0144,0.0266,0.019,-0.0045,2518000000.0,1294000000.0,3.4305,,3.4472,,3.4472,1809000000.0,,1809000000.0,0.0281,0.024,PSX
2016-12-31 00:00:00,84279000000.0,62468000000.0,21811000000.0,15326000000.0,1100000000.0,,1091000000.0,338000000.0,2191000000.0,547000000.0,1644000000.0,1555000000.0,2.94,0.2588,0.0131,0.026,0.0185,0.0014,2289000000.0,1100000000.0,3.1014,,3.1164,,3.1164,1644000000.0,,1644000000.0,0.0272,0.0352,PSX
2016-09-30 00:00:00,82775000000.0,59960000000.0,22815000000.0,15586000000.0,1982000000.0,,979000000.0,324000000.0,2961000000.0,845000000.0,2116000000.0,2042000000.0,3.84,0.2756,0.0239,0.0358,0.0247,-0.0086,3146000000.0,1982000000.0,3.9593,,3.9889,,3.9889,2116000000.0,,2116000000.0,0.038,0.0458,PSX
2016-06-30 00:00:00,86943000000.0,62579000000.0,24364000000.0,15798000000.0,3336000000.0,,1171000000.0,314000000.0,4507000000.0,1335000000.0,3172000000.0,3109000000.0,5.79,0.2802,0.0384,0.0518,0.0358,-0.0057,4477000000.0,3336000000.0,5.8684,,5.9161,,5.9161,3172000000.0,,3172000000.0,0.0515,0.05,PSX
2016-03-31 00:00:00,93606000000.0,68634000000.0,24972000000.0,15738000000.0,4105000000.0,,1147000000.0,310000000.0,5252000000.0,1571000000.0,3681000000.0,3625000000.0,6.7,0.2668,0.0439,0.0561,0.0387,-0.0087,5231000000.0,4105000000.0,6.7641,,6.8214,,6.8214,3681000000.0,,3681000000.0,0.0559,0.0493,PSX
2015-12-31 00:00:00,98975000000.0,73399000000.0,25576000000.0,15747000000.0,4830000000.0,,1214000000.0,310000000.0,6044000000.0,1764000000.0,4280000000.0,4227000000.0,7.78,0.2584,0.0488,0.0611,0.0427,-0.0005,5929000000.0,4830000000.0,7.8249,,7.8916,,7.8916,4280000000.0,,4280000000.0,0.0599,0.0577,PSX
2015-09-30 00:00:00,112045000000.0,85977000000.0,26068000000.0,16002000000.0,5076000000.0,,1497000000.0,309000000.0,6573000000.0,1801000000.0,4772000000.0,4724000000.0,8.64,0.2327,0.0453,0.0587,0.0422,0.006,6168000000.0,5076000000.0,8.6251,,8.7556,,8.687,4772000000.0,,4772000000.0,0.055,0.0454,PSX
2015-06-30 00:00:00,126670000000.0,100999000000.0,25671000000.0,16230000000.0,4517000000.0,,1424000000.0,298000000.0,5941000000.0,1572000000.0,4369000000.0,4326000000.0,7.83,0.2027,0.0357,0.0469,0.0342,-0.0067,5589000000.0,4517000000.0,7.7924,,7.9345,,7.8508,4369000000.0,,4369000000.0,0.0441,0.0322,PSX
2015-03-31 00:00:00,143707000000.0,118062000000.0,25645000000.0,16519000000.0,4070000000.0,,1765000000.0,285000000.0,5835000000.0,1619000000.0,4216000000.0,4177000000.0,7.5,0.1785,0.0283,0.0406,0.0291,-0.0056,5107000000.0,4070000000.0,7.4351,,7.5936,,7.4887,4216000000.0,,4216000000.0,0.0355,0.0242,PSX
2014-12-31 00:00:00,161212000000.0,135748000000.0,25464000000.0,16703000000.0,3572000000.0,,2173000000.0,267000000.0,5745000000.0,1654000000.0,4091000000.0,4762000000.0,8.39,0.158,0.0222,0.0356,0.0295,-0.0015,4591000000.0,3572000000.0,7.1,1.29,8.4767,1.31,7.15,4091000000.0,,4797000000.0,0.0285,0.0219,PSX
2014-09-30 00:00:00,169298000000.0,144327000000.0,24971000000.0,16663000000.0,3034000000.0,,2561000000.0,262000000.0,5595000000.0,1847000000.0,3748000000.0,4441000000.0,7.7,0.1475,0.0179,0.033,0.0262,0.0017,4023000000.0,3034000000.0,6.42,,7.7817,,6.46,3748000000.0,,4472000000.0,0.0238,0.021,PSX
2014-06-30 00:00:00,173027000000.0,149442000000.0,23585000000.0,16361000000.0,1970000000.0,,2702000000.0,270000000.0,4672000000.0,1587000000.0,3085000000.0,3796000000.0,6.47,0.1363,0.0114,0.027,0.0219,0.0168,2943000000.0,1970000000.0,5.18,,6.5434,,5.21,3085000000.0,,3823000000.0,0.017,0.0293,PSX
2014-03-31 00:00:00,170668000000.0,147383000000.0,23285000000.0,15986000000.0,2166000000.0,,2600000000.0,273000000.0,4766000000.0,1607000000.0,3159000000.0,3891000000.0,6.5,0.1364,0.0127,0.0279,0.0228,0.019,3129000000.0,2166000000.0,5.18,1.28,6.5527,1.29,5.22,3159000000.0,752000000.0,3911000000.0,0.0183,0.0305,PSX
2013-12-31 00:00:00,171596000000.0,148245000000.0,23351000000.0,15597000000.0,2688000000.0,,2838000000.0,275000000.0,5526000000.0,1844000000.0,3682000000.0,3726000000.0,6.06,0.1361,0.0157,0.0322,0.0217,0.0248,3659000000.0,2688000000.0,5.92,0.1,6.1068,0.1,5.97,3682000000.0,61000000.0,3743000000.0,0.0213,0.0351,PSX
2013-09-30 00:00:00,172362000000.0,148715000000.0,23647000000.0,15370000000.0,2790000000.0,,2669000000.0,283000000.0,5459000000.0,1930000000.0,3529000000.0,3609000000.0,5.8,0.1372,0.0162,0.0317,0.0209,0.0256,3756000000.0,2790000000.0,5.594,,5.8268,,5.6543,3529000000.0,43000000.0,3620000000.0,0.0218,0.0373,PSX
2013-06-30 00:00:00,171161000000.0,146187000000.0,24974000000.0,15239000000.0,4114000000.0,,2990000000.0,289000000.0,7104000000.0,2500000000.0,4604000000.0,4672000000.0,7.46,0.1459,0.024,0.0415,0.0273,0.026,5077000000.0,4114000000.0,7.2537,,7.4786,,7.3329,4604000000.0,,4681000000.0,0.0297,0.0374,PSX
2013-03-31 00:00:00,174718000000.0,149328000000.0,25390000000.0,15325000000.0,4398000000.0,,3147000000.0,303000000.0,7545000000.0,2705000000.0,4840000000.0,4895000000.0,7.79,0.1453,0.0252,0.0432,0.028,0.0286,5356000000.0,4398000000.0,7.6047,,7.8087,,7.6835,4840000000.0,,4903000000.0,0.0307,0.0393,PSX
2012-12-31 00:00:00,179290000000.0,154413000000.0,24877000000.0,15443000000.0,3640000000.0,,2916000000.0,246000000.0,6556000000.0,2473000000.0,4083000000.0,4124000000.0,6.55,0.1388,0.0203,0.0366,0.023,0.0145,4571000000.0,3640000000.0,6.4,,6.5693,,6.47,4083000000.0,,4131000000.0,0.0255,0.024,PSX
