Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,26741000000.0,15446000000.0,11295000000.0,3227000000.0,4553000000.0,3643000000.0,274000000.0,-1439000000.0,104000000.0,2962000000.0,663000000.0,2299000000.0,2299000000.0,1.97,0.4224,0.1362,0.1108,0.086,0.2118,4832000000.0,3643000000.0,1.9686,1.9772,1.9772,2299000000.0,2299000000.0,0.1807,0.24,PYPL
2022-06-30 00:00:00,26277000000.0,14918000000.0,11359000000.0,3181000000.0,4593000000.0,3568000000.0,245000000.0,-1482000000.0,71000000.0,2549000000.0,493000000.0,2056000000.0,2056000000.0,1.74,0.4323,0.1358,0.097,0.0782,0.1974,4895000000.0,3568000000.0,1.7349,1.7506,1.7506,2056000000.0,2056000000.0,0.1863,0.2277,PYPL
2022-03-31 00:00:00,25816000000.0,14104000000.0,11712000000.0,3112000000.0,4634000000.0,3931000000.0,233000000.0,-85000000.0,57000000.0,3856000000.0,275000000.0,3581000000.0,3581000000.0,3.04,0.4537,0.1523,0.1494,0.1387,0.1919,5258000000.0,3931000000.0,3.0277,3.0536,3.0536,3581000000.0,3581000000.0,0.2037,0.2256,PYPL
2021-12-31 00:00:00,25413000000.0,13450000000.0,11963000000.0,3038000000.0,4559000000.0,4262000000.0,232000000.0,-238000000.0,57000000.0,4099000000.0,-70000000.0,4169000000.0,4169000000.0,3.55,0.4707,0.1677,0.1613,0.164,0.2139,5572000000.0,4262000000.0,3.5152,3.5511,3.5511,4169000000.0,4169000000.0,0.2193,0.2495,PYPL
2021-09-30 00:00:00,24613000000.0,12819000000.0,11794000000.0,2974000000.0,4497000000.0,4175000000.0,232000000.0,981000000.0,59000000.0,5252000000.0,317000000.0,4935000000.0,4935000000.0,4.21,0.4792,0.1696,0.2134,0.2005,0.2034,5460000000.0,4175000000.0,4.1548,4.2047,4.2047,4935000000.0,4935000000.0,0.2218,0.2407,PYPL
2021-06-30 00:00:00,23846000000.0,12298000000.0,11548000000.0,2893000000.0,4424000000.0,4109000000.0,232000000.0,1122000000.0,61000000.0,5231000000.0,362000000.0,4869000000.0,4869000000.0,4.16,0.4843,0.1723,0.2194,0.2042,0.2009,5324000000.0,4109000000.0,4.097,4.15,4.15,4869000000.0,4869000000.0,0.2233,0.2401,PYPL
2021-03-31 00:00:00,22869000000.0,11790000000.0,11079000000.0,2778000000.0,4200000000.0,3933000000.0,230000000.0,1741000000.0,70000000.0,5674000000.0,459000000.0,5215000000.0,5215000000.0,4.45,0.4845,0.172,0.2481,0.228,0.2322,5129000000.0,3933000000.0,4.3909,4.4458,4.4458,5215000000.0,5215000000.0,0.2243,0.2707,PYPL
2020-12-31 00:00:00,21454000000.0,11453000000.0,10001000000.0,2642000000.0,3931000000.0,3289000000.0,209000000.0,1776000000.0,88000000.0,5065000000.0,863000000.0,4202000000.0,4202000000.0,3.58,0.4662,0.1533,0.2361,0.1959,0.2381,4478000000.0,3289000000.0,3.54,3.5822,3.5822,4202000000.0,4202000000.0,0.2087,0.2729,PYPL
2020-09-30 00:00:00,20299000000.0,10982000000.0,9317000000.0,2468000000.0,3629000000.0,3125000000.0,187000000.0,935000000.0,125000000.0,4060000000.0,918000000.0,3142000000.0,3142000000.0,2.67,0.459,0.1539,0.2,0.1548,0.226,4240000000.0,3125000000.0,2.6473,2.6784,2.6784,3142000000.0,3142000000.0,0.2089,0.2602,PYPL
2020-06-30 00:00:00,19218000000.0,10598000000.0,8620000000.0,2327000000.0,3372000000.0,2845000000.0,,555000000.0,108000000.0,3400000000.0,817000000.0,2583000000.0,2583000000.0,2.19,0.4485,0.148,0.1769,0.1344,0.2318,3889000000.0,2845000000.0,2.1782,2.2004,2.2004,2583000000.0,2583000000.0,0.2024,0.2635,PYPL
2020-03-31 00:00:00,18262000000.0,10236000000.0,8026000000.0,2179000000.0,3221000000.0,2599000000.0,,-55000000.0,,2544000000.0,668000000.0,1876000000.0,1876000000.0,1.59,0.4395,0.1423,0.1393,0.1027,0.2141,3574000000.0,2599000000.0,1.5793,1.5965,1.5965,1876000000.0,1876000000.0,0.1957,0.2445,PYPL
2019-12-31 00:00:00,17772000000.0,9785000000.0,7987000000.0,2085000000.0,3112000000.0,2719000000.0,,279000000.0,,2998000000.0,539000000.0,2459000000.0,2459000000.0,2.09,0.4494,0.153,0.1687,0.1384,0.1904,3631000000.0,2719000000.0,2.0698,2.0945,2.0945,2459000000.0,2459000000.0,0.2043,0.2291,PYPL
2019-09-30 00:00:00,17037000000.0,9348000000.0,7689000000.0,2017000000.0,3071000000.0,2518000000.0,,312000000.0,,2830000000.0,294000000.0,2536000000.0,2536000000.0,2.16,0.4513,0.1478,0.1661,0.1489,0.2168,3426000000.0,2518000000.0,2.1324,2.1595,2.1595,2536000000.0,2536000000.0,0.2011,0.2599,PYPL
2019-06-30 00:00:00,16342000000.0,8928000000.0,7414000000.0,1936000000.0,3056000000.0,2311000000.0,,568000000.0,,2879000000.0,369000000.0,2510000000.0,2510000000.0,2.14,0.4537,0.1414,0.1762,0.1536,0.4406,3180000000.0,2311000000.0,2.1071,2.1355,2.1355,2510000000.0,2510000000.0,0.1946,0.4897,PYPL
2019-03-31 00:00:00,15894000000.0,8618000000.0,7276000000.0,1894000000.0,2975000000.0,2178000000.0,,367000000.0,,2545000000.0,332000000.0,2213000000.0,2213000000.0,1.88,0.4578,0.137,0.1601,0.1392,0.3772,2999000000.0,2178000000.0,1.8514,1.8782,1.8782,2213000000.0,2213000000.0,0.1887,0.4314,PYPL
2018-12-31 00:00:00,15451000000.0,8262000000.0,7189000000.0,1831000000.0,2855000000.0,2194000000.0,,182000000.0,,2376000000.0,319000000.0,2057000000.0,2057000000.0,1.74,0.4653,0.142,0.1538,0.1331,0.3016,2970000000.0,2194000000.0,1.7099,1.7373,1.7373,2057000000.0,2057000000.0,0.1922,0.3547,PYPL
2018-09-30 00:00:00,14969000000.0,7540000000.0,7429000000.0,2395000000.0,2784000000.0,2439000000.0,,115000000.0,,2554000000.0,461000000.0,2093000000.0,2093000000.0,1.76,0.4963,0.1629,0.1706,0.1398,0.2287,3219000000.0,2439000000.0,1.7264,1.7558,1.7558,2093000000.0,2093000000.0,0.215,0.2807,PYPL
2018-06-30 00:00:00,14525000000.0,7340000000.0,7185000000.0,2183000000.0,2653000000.0,2372000000.0,,100000000.0,,2472000000.0,435000000.0,2037000000.0,2037000000.0,1.71,0.4947,0.1633,0.1702,0.1402,-0.0126,3158000000.0,2372000000.0,1.6735,1.7027,1.7027,2037000000.0,2037000000.0,0.2174,0.037,PYPL
2018-03-31 00:00:00,13804000000.0,7013000000.0,6791000000.0,1974000000.0,2525000000.0,2230000000.0,,80000000.0,,2310000000.0,388000000.0,1922000000.0,1922000000.0,1.61,0.492,0.1615,0.1673,0.1392,0.0532,3037000000.0,2230000000.0,1.5742,1.6015,1.6015,1922000000.0,1922000000.0,0.22,0.1037,PYPL
2017-12-31 00:00:00,13094000000.0,6695000000.0,6399000000.0,1740000000.0,2400000000.0,2127000000.0,,73000000.0,,2200000000.0,405000000.0,1795000000.0,1795000000.0,1.5,0.4887,0.1624,0.168,0.1371,0.1424,2932000000.0,2127000000.0,1.4701,1.492,1.492,1795000000.0,1795000000.0,0.2239,0.1933,PYPL
2017-09-30 00:00:00,12331000000.0,6711000000.0,5620000000.0,901000000.0,2168000000.0,1744000000.0,,61000000.0,,1805000000.0,240000000.0,1565000000.0,1565000000.0,1.3,0.4558,0.1414,0.1464,0.1269,0.2402,2511000000.0,1744000000.0,1.2852,1.3003,1.3003,1565000000.0,1565000000.0,0.2036,0.292,PYPL
2017-06-30 00:00:00,11759000000.0,6326000000.0,5433000000.0,876000000.0,2091000000.0,1669000000.0,,45000000.0,,1714000000.0,206000000.0,1508000000.0,1508000000.0,1.25,0.462,0.1419,0.1458,0.1282,0.2329,2427000000.0,1669000000.0,1.2406,1.2518,1.2518,1508000000.0,1508000000.0,0.2064,0.2888,PYPL
2017-03-31 00:00:00,11273000000.0,6002000000.0,5271000000.0,853000000.0,2036000000.0,1610000000.0,,37000000.0,,1647000000.0,227000000.0,1420000000.0,1420000000.0,1.18,0.4676,0.1428,0.1461,0.126,0.2206,2343000000.0,1610000000.0,1.1681,1.1768,1.1768,1420000000.0,1420000000.0,0.2078,0.2813,PYPL
