Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11924744000.0,11241731000.0,683013000.0,66319000.0,546543900.0,-63641000.0,32182000.0,520314900.0,-12305000.0,532620000.0,532620000.0,13.41,0.0573,0.0458,0.0436,0.0447,0.3361,614320900.0,546543900.0,13.7539,13.7641,13.7641,532620000.0,532620000.0,0.0515,0.3361,RE
2022-06-30 00:00:00,11776744000.0,10787731000.0,989013000.0,68319000.0,850543900.0,-54641000.0,23182000.0,833314900.0,55695000.0,777620000.0,777620000.0,19.75,0.084,0.0722,0.0708,0.066,0.3496,923444900.0,850543900.0,20.0877,20.0979,20.0979,777620000.0,777620000.0,0.0784,0.3496,RE
2022-03-31 00:00:00,12018821000.0,10396391000.0,1622430000.0,69469000.0,1482811000.0,-45850000.0,14391000.0,1474372900.0,139401000.0,1334972100.0,1334972000.0,33.61,0.135,0.1234,0.1227,0.1111,0.3397,1560519000.0,1482811000.0,34.1207,34.1483,34.1483,1334972100.0,1334972000.0,0.1298,0.3397,RE
2021-12-31 00:00:00,11866263000.0,10182666000.0,1683597000.0,67827000.0,1545620100.0,-37411000.0,5952000.0,1545620900.0,166538000.0,1379083100.0,1379083000.0,34.57,0.1419,0.1303,0.1303,0.1162,0.3353,1621397100.0,1545620100.0,35.0875,35.1242,35.1242,1379083100.0,1379083000.0,0.1366,0.3353,RE
2021-09-30 00:00:00,11506862000.0,10221618000.0,1285244200.0,58480000.0,1190440400.0,-54466000.0,30924000.0,1164672000.0,153226000.0,1011446100.0,1011446000.0,25.21,0.1117,0.1035,0.1012,0.0879,0.3109,1264519400.0,1190440700.0,25.4843,25.5179,25.5179,1011446100.0,1011446000.0,0.1099,0.3109,RE
2021-06-30 00:00:00,11192046000.0,9563035000.0,1629011300.0,51098000.0,1541589600.0,-45107000.0,21565000.0,1525180000.0,196677000.0,1328503100.0,1328503000.0,33.17,0.1456,0.1377,0.1363,0.1187,0.3035,1608643600.0,1541589900.0,33.5166,33.5617,33.5617,1328503100.0,1328503000.0,0.1437,0.3035,RE
2021-03-31 00:00:00,10359871000.0,9269763000.0,1090108200.0,43663000.0,1010121400.0,-36753000.0,13211000.0,1002066000.0,162665000.0,839401000.0,839401000.0,20.97,0.1052,0.0975,0.0967,0.081,0.3158,1068477500.0,1010121700.0,21.1611,21.1974,21.1974,839401000.0,839401000.0,0.1031,0.3158,RE
2020-12-31 00:00:00,9598114000.0,8935324000.0,662790200.0,41118000.0,585348400.0,-28697000.0,5155000.0,585349000.0,71198000.0,514151000.0,514151000.0,12.85,0.0691,0.061,0.061,0.0536,0.2994,635021500.0,585348700.0,12.9398,12.9653,12.9653,514151000.0,514151000.0,0.0662,0.2994,RE
2020-09-30 00:00:00,9050801000.0,8297044000.0,753757000.0,39528000.0,682536500.0,-18153000.0,-408000.0,685031100.0,16838000.0,668193100.0,668193000.0,16.6,0.0833,0.0754,0.0757,0.0738,0.2824,722424600.0,682536500.0,16.7729,16.8094,16.8094,668193100.0,668193000.0,0.0798,0.2824,RE
2020-06-30 00:00:00,8483137000.0,7909785000.0,573352000.0,37345000.0,504314300.0,-19419000.0,858000.0,505543100.0,-23991000.0,529534100.0,529534000.0,13.08,0.0676,0.0594,0.0596,0.0624,0.2479,542476400.0,504314300.0,13.2118,13.2448,13.2448,529534100.0,529534000.0,0.0639,0.2479,RE
2020-03-31 00:00:00,8247349000.0,7538736000.0,708613000.0,36147000.0,640773300.0,-20600000.0,2039000.0,640821100.0,-30701000.0,671522100.0,671522000.0,16.73,0.0859,0.0777,0.0777,0.0814,0.2302,674450300.0,640773300.0,16.6202,16.6706,16.6706,671522100.0,671522000.0,0.0818,0.2302,RE
2019-12-31 00:00:00,8231169000.0,7067523000.0,1163645900.0,32966000.0,1098987200.0,-20648000.0,2087000.0,1098987100.0,89526000.0,1009461100.0,1009461000.0,24.89,0.1414,0.1335,0.1335,0.1226,0.225,1129923200.0,1098987200.0,24.9743,25.0543,25.0543,1009461100.0,1009461000.0,0.1373,0.225,RE
2019-09-30 00:00:00,7804019000.0,7572438000.0,231581500.0,29775000.0,201806400.0,-31956000.0,31956000.0,169850000.0,-232414000.0,402264000.0,402264000.0,10.05,0.0297,0.0259,0.0218,0.0515,0.199,229916500.0,201806600.0,10.003,10.0183,10.0183,402264000.0,402264000.0,0.0295,0.199,RE
