Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7050000000.0,202000000.0,6848000000.0,4303000000.0,2545000000.0,12000000.0,2545000000.0,547000000.0,1998000000.0,1900000000.0,2.03,0.9713,0.0,0.361,0.2695,0.2543,2.1146,,2.1304,,2.1304,1998000000.0,,1998000000.0,0.0,0.3075,RF
2022-06-30 00:00:00,6757000000.0,162000000.0,6595000000.0,3781000000.0,2814000000.0,24000000.0,2814000000.0,594000000.0,2220000000.0,2120000000.0,2.25,0.976,0.0,0.4165,0.3137,0.3007,2.3349,,2.3528,,2.3528,2220000000.0,,2220000000.0,0.0,0.3546,RF
2022-03-31 00:00:00,6587000000.0,158000000.0,6429000000.0,3334000000.0,3095000000.0,57000000.0,3095000000.0,668000000.0,2427000000.0,2310000000.0,2.43,0.976,0.0,0.4699,0.3507,0.3102,2.5334,,2.5532,,2.5532,2427000000.0,,2427000000.0,0.0,0.3445,RF
2021-12-31 00:00:00,6605000000.0,167000000.0,6438000000.0,3223000000.0,3215000000.0,,3215000000.0,694000000.0,2521000000.0,2400000000.0,2.51,0.9747,0.0,0.4868,0.3634,0.3805,2.6179,,2.6371,,2.6371,2521000000.0,,2521000000.0,0.0,0.4051,RF
2021-09-30 00:00:00,6675000000.0,185000000.0,6490000000.0,3079000000.0,3411000000.0,66000000.0,3411000000.0,712000000.0,2699000000.0,2574000000.0,2.68,0.9723,0.0,0.511,0.3856,0.2896,2.7992,,2.8167,,2.8167,2699000000.0,,2699000000.0,0.0,0.3157,RF
2021-06-30 00:00:00,6734000000.0,215000000.0,6519000000.0,3305000000.0,3214000000.0,,3214000000.0,636000000.0,2578000000.0,2451000000.0,2.55,0.9681,0.0,0.4773,0.364,0.2888,2.6734,,2.6871,,2.6871,2578000000.0,,2578000000.0,0.0,0.313,RF
2021-03-31 00:00:00,6745000000.0,263000000.0,6482000000.0,4550000000.0,1932000000.0,71000000.0,1932000000.0,358000000.0,1574000000.0,1466000000.0,1.52,0.961,0.0,0.2864,0.2173,0.3072,1.6318,,1.6396,,1.6396,1574000000.0,,1574000000.0,0.0,0.3345,RF
2020-12-31 00:00:00,6655000000.0,368000000.0,6287000000.0,4973000000.0,1314000000.0,77000000.0,1314000000.0,220000000.0,1094000000.0,991000000.0,1.03,0.9447,0.0,0.1974,0.1489,0.3202,1.1372,,1.1408,,1.1408,1094000000.0,,1094000000.0,0.0,0.3492,RF
2020-09-30 00:00:00,6574000000.0,493000000.0,6081000000.0,5017000000.0,1064000000.0,78000000.0,1064000000.0,197000000.0,867000000.0,769000000.0,0.8,0.925,0.0,0.1618,0.117,0.4008,0.8988,,0.9017,,0.9017,867000000.0,,867000000.0,0.0,0.4293,RF
2020-06-30 00:00:00,6568000000.0,635000000.0,5933000000.0,4987000000.0,946000000.0,65000000.0,946000000.0,200000000.0,746000000.0,653000000.0,0.67,0.9033,0.0,0.144,0.0994,0.4055,0.7606,,0.7636,,0.7636,746000000.0,,746000000.0,0.0,0.4421,RF
