Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Minority Interest,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,66023000000.0,52487000000.0,13536000000.0,2805000000.0,5691000000.0,5233000000.0,1288000000.0,2758000000.0,66000000.0,5244000000.0,614000000.0,4630000000.0,,4461000000.0,3.0,0.205,0.0793,0.0794,0.0676,0.0462,9294000000.0,5233000000.0,3.01,,3.1153,,3.03,4630000000.0,,4630000000.0,0.1408,0.0857,RTX
2022-06-30 00:00:00,65293000000.0,52108000000.0,13185000000.0,2819000000.0,5514000000.0,5096000000.0,1297000000.0,2899000000.0,65000000.0,5083000000.0,375000000.0,4708000000.0,,4467000000.0,2.99,0.2019,0.078,0.0778,0.0684,0.0656,9217000000.0,5096000000.0,3.0,,3.1451,,3.02,4708000000.0,,4708000000.0,0.1412,0.1043,RTX
2022-03-31 00:00:00,64859000000.0,51907000000.0,12952000000.0,2778000000.0,5458000000.0,5025000000.0,1323000000.0,2578000000.0,394000000.0,5015000000.0,557000000.0,4458000000.0,,4195000000.0,2.8,0.1997,0.0775,0.0773,0.0647,0.0687,9296000000.0,5025000000.0,2.81,-0.03,2.9575,-0.03,2.83,4458000000.0,-33000000.0,4450000000.0,0.1433,0.1056,RTX
2021-12-31 00:00:00,64394000000.0,51884000000.0,12510000000.0,2732000000.0,5209000000.0,4958000000.0,1358000000.0,2208000000.0,709000000.0,4931000000.0,786000000.0,4145000000.0,,3864000000.0,2.58,0.1943,0.077,0.0766,0.06,0.0741,9332000000.0,4958000000.0,2.58,-0.02,2.7383,-0.03,2.6,4145000000.0,-33000000.0,4118000000.0,0.1449,0.1102,RTX
2021-09-30 00:00:00,63771000000.0,52543000000.0,11228000000.0,2632000000.0,5153000000.0,3780000000.0,1405000000.0,848000000.0,1046000000.0,4101000000.0,512000000.0,3589000000.0,,3313000000.0,2.21,0.1761,0.0593,0.0643,0.052,0.0529,8249000000.0,3780000000.0,1.8,0.1854,2.1377,0.2,1.79,3589000000.0,-45000000.0,3551000000.0,0.1294,0.0839,RTX
2021-06-30 00:00:00,62297000000.0,52462000000.0,9835000000.0,2598000000.0,5340000000.0,2871000000.0,1426000000.0,91000000.0,1387000000.0,2962000000.0,661000000.0,2301000000.0,279000000.0,2184000000.0,1.45,0.1579,0.0461,0.0475,0.0351,0.0507,7443000000.0,2871000000.0,0.97,0.27,1.3562,0.2847,0.96,2301000000.0,75000000.0,2376000000.0,0.1195,0.0809,RTX
2021-03-31 00:00:00,60478000000.0,52021000000.0,8457000000.0,2636000000.0,5783000000.0,-2171000000.0,1426000000.0,-155000000.0,1380000000.0,-2326000000.0,281000000.0,-2607000000.0,312000000.0,-2683000000.0,-1.79,0.1398,-0.0359,-0.0385,-0.0444,0.0321,5563000000.0,-2171000000.0,-2.28,0.29,-1.8992,0.3,-2.29,-2607000000.0,92000000.0,-2515000000.0,0.092,0.0649,RTX
2020-12-31 00:00:00,56587000000.0,48056000000.0,8531000000.0,2582000000.0,5540000000.0,-1889000000.0,1469000000.0,-464000000.0,1366000000.0,-2353000000.0,575000000.0,-2928000000.0,,-3519000000.0,-2.39,0.1508,-0.0334,-0.0416,-0.0622,0.0418,5450000000.0,-1889000000.0,-2.29,-0.3,-2.4584,-0.3,-2.29,-2928000000.0,-410000000.0,-3338000000.0,0.0963,0.0766,RTX
2020-09-30 00:00:00,44450000000.0,37618000000.0,6832000000.0,2399000000.0,4099000000.0,-1978000000.0,1552000000.0,-633000000.0,1423000000.0,-2611000000.0,465000000.0,-3076000000.0,,-2511000000.0,-1.15,0.1537,-0.0445,-0.0587,-0.0565,0.0482,4894000000.0,-1978000000.0,-2.0356,0.79,-0.9902,0.79,-2.0102,-3076000000.0,721000000.0,-2355000000.0,0.1101,0.0965,RTX
2020-06-30 00:00:00,41076000000.0,33123000000.0,7953000000.0,2349000000.0,3600000000.0,-982000000.0,,-649000000.0,1475000000.0,-1631000000.0,619000000.0,-2250000000.0,,-1627000000.0,0.02,0.1936,-0.0239,-0.0397,-0.0396,0.0519,5418000000.0,-982000000.0,-1.0256,0.93,0.2171,0.93,-0.9902,-2250000000.0,798000000.0,-1452000000.0,0.1319,0.107,RTX
2020-03-31 00:00:00,38344000000.0,29463000000.0,8881000000.0,2259000000.0,2691000000.0,4164000000.0,,-703000000.0,1492000000.0,3461000000.0,663000000.0,2798000000.0,,4108000000.0,4.79,0.2316,0.1086,0.0903,0.1071,0.0856,6658000000.0,4164000000.0,2.9044,1.75,5.0321,1.76,2.9498,2798000000.0,1506000000.0,4304000000.0,0.1736,0.1422,RTX
2019-12-31 00:00:00,45349000000.0,34598000000.0,10751000000.0,2452000000.0,3711000000.0,4914000000.0,,-762000000.0,1591000000.0,4152000000.0,421000000.0,3731000000.0,,5537000000.0,6.47,0.2371,0.1084,0.0916,0.1221,0.0794,7622000000.0,4914000000.0,4.06,2.3464,6.7361,2.3669,4.11,3731000000.0,2016000000.0,5758000000.0,0.1681,0.1284,RTX
2019-09-30 00:00:00,27311000000.0,21997000000.0,5314000000.0,2074000000.0,1514000000.0,1096000000.0,,-711000000.0,1496000000.0,385000000.0,171000000.0,214000000.0,,5080000000.0,5.97,0.1946,0.0401,0.0141,0.186,0.0375,3248000000.0,1096000000.0,-0.4311,1.0864,6.029,1.0969,-0.4523,214000000.0,933000000.0,5174000000.0,0.1189,0.1043,RTX
2019-06-30 00:00:00,32448000000.0,26024000000.0,6424000000.0,2068000000.0,2293000000.0,1504000000.0,,-668000000.0,1352000000.0,836000000.0,284000000.0,552000000.0,,5170000000.0,6.19,0.198,0.0464,0.0258,0.1593,0.0327,3557000000.0,1504000000.0,0.1414,0.81,6.3293,0.82,0.1325,552000000.0,696000000.0,5322000000.0,0.1096,0.0889,RTX
2019-03-31 00:00:00,37824000000.0,29892000000.0,7932000000.0,2052000000.0,3150000000.0,2994000000.0,,-558000000.0,1234000000.0,2436000000.0,973000000.0,1463000000.0,,5318000000.0,6.56,0.2097,0.0792,0.0644,0.1406,0.048,5251000000.0,2994000000.0,1.4465,,6.7587,,1.4584,1463000000.0,,5516000000.0,0.1388,0.0983,RTX
2018-12-31 00:00:00,34701000000.0,27465000000.0,7236000000.0,1878000000.0,2864000000.0,2877000000.0,,-373000000.0,1032000000.0,2504000000.0,1098000000.0,1406000000.0,,5269000000.0,6.62,0.2085,0.0829,0.0722,0.1518,0.0231,4773000000.0,2877000000.0,1.5,,6.8204,,1.5201,1406000000.0,,5459000000.0,0.1375,0.0769,RTX
2018-09-30 00:00:00,64137000000.0,48033000000.0,16104000000.0,2359000000.0,6871000000.0,8440000000.0,,-243000000.0,968000000.0,8197000000.0,2855000000.0,5342000000.0,,4980000000.0,6.29,0.2511,0.1316,0.1278,0.0776,0.0705,10764000000.0,8440000000.0,6.7753,,6.7589,,6.8589,5342000000.0,,5342000000.0,0.1678,0.1066,RTX
2018-06-30 00:00:00,62689000000.0,46603000000.0,16086000000.0,2365000000.0,6772000000.0,8634000000.0,,-265000000.0,933000000.0,8369000000.0,2942000000.0,5427000000.0,,5072000000.0,6.42,0.2566,0.1377,0.1335,0.0809,0.0435,10908000000.0,8634000000.0,6.8918,,6.8732,,6.9732,5427000000.0,,5427000000.0,0.174,0.0805,RTX
2018-03-31 00:00:00,61264000000.0,45345000000.0,15919000000.0,2395000000.0,6603000000.0,7922000000.0,,-323000000.0,925000000.0,7599000000.0,2779000000.0,4820000000.0,,4463000000.0,5.66,0.2598,0.1293,0.124,0.0728,0.0442,10131000000.0,7922000000.0,6.136,,6.1097,,6.2097,4820000000.0,,4820000000.0,0.1654,0.0831,RTX
2017-12-31 00:00:00,59837000000.0,44201000000.0,15636000000.0,2427000000.0,6429000000.0,8138000000.0,,-375000000.0,909000000.0,7763000000.0,2843000000.0,4920000000.0,,4552000000.0,5.77,0.2613,0.136,0.1297,0.0761,0.0541,10278000000.0,8138000000.0,6.1569,,6.2278,,6.2278,4920000000.0,,4920000000.0,0.1718,0.0941,RTX
2017-09-30 00:00:00,58816000000.0,43140000000.0,15676000000.0,2462000000.0,6463000000.0,8028000000.0,,-697000000.0,1028000000.0,7331000000.0,1773000000.0,5558000000.0,,5168000000.0,6.53,0.2665,0.1365,0.1246,0.0879,0.046,10116000000.0,8028000000.0,6.7183,,7.3387,,6.7915,5829000000.0,,5818000000.0,0.172,0.0842,RTX
2017-06-30 00:00:00,58108000000.0,42376000000.0,15732000000.0,2452000000.0,6271000000.0,8247000000.0,,-830000000.0,1030000000.0,7417000000.0,1759000000.0,5658000000.0,,5318000000.0,6.64,0.2707,0.1419,0.1276,0.0915,0.0816,10288000000.0,8247000000.0,6.6593,,7.3192,,6.7324,5838000000.0,,5864000000.0,0.177,0.1195,RTX
2017-03-31 00:00:00,57702000000.0,41953000000.0,15749000000.0,2421000000.0,6132000000.0,8420000000.0,,-955000000.0,1029000000.0,7465000000.0,1814000000.0,5651000000.0,,5258000000.0,6.47,0.2729,0.1459,0.1294,0.0911,0.0776,10428000000.0,8420000000.0,6.45,,7.0477,,6.52,5732000000.0,,5711000000.0,0.1807,0.1145,RTX
2016-12-31 00:00:00,57244000000.0,41471000000.0,15773000000.0,2376000000.0,5958000000.0,8221000000.0,,-1088000000.0,1039000000.0,7133000000.0,1697000000.0,5436000000.0,,5055000000.0,6.16,0.2755,0.1436,0.1246,0.0883,0.0756,10183000000.0,8221000000.0,6.13,-0.01,6.6316,-0.01,6.19,5436000000.0,-10000000.0,5426000000.0,0.1779,0.112,RTX
