Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,8014000000.0,5638000000.0,2377000000.0,1380100000.0,944099500.0,143000000.0,212000000.0,156900000.0,780000000.0,192000000.0,587599900.0,587000000.0,5.44,0.2966,0.1178,0.0973,0.0732,0.0651,1452000000.0,944099400.0,5.4628,5.4624,5.4624,587599900.0,587000000.0,0.1812,0.1197,SJM
2022-04-30 00:00:00,7999000000.0,5559000000.0,2441000000.0,1360300000.0,1023799400.0,147000000.0,147000000.0,160900000.0,844000000.0,212000000.0,631699900.0,630000000.0,5.83,0.3052,0.128,0.1055,0.0788,0.0899,1539000000.0,1023799300.0,5.8545,5.8545,5.8545,631699900.0,630000000.0,0.1924,0.1421,SJM
2022-01-31 00:00:00,7885200000.0,5307500000.0,2578700100.0,1418799900.0,960500200.0,152000000.0,69600000.0,165300000.0,777300000.0,200300000.0,576600100.0,572400000.0,5.31,0.327,0.1218,0.0986,0.0726,0.0864,1533400200.0,960500300.0,5.3469,5.3488,5.3488,576600100.0,575000000.0,0.1945,0.1311,SJM
2021-10-31 00:00:00,7904900000.0,5137800000.0,2768100000.0,1454499900.0,1216100100.0,156000000.0,-126100000.0,169300000.0,1028800000.0,260300000.0,768400100.0,763900000.0,6.99,0.3502,0.1538,0.1301,0.0966,0.0981,1651100200.0,1216100200.0,7.0354,7.0367,7.0367,768400100.0,766500000.0,0.2089,0.1366,SJM
2021-07-31 00:00:00,7888900000.0,4954600000.0,2934300000.0,1489599900.0,1285100100.0,161000000.0,-195400000.0,174100000.0,1063300000.0,270000000.0,793200100.0,789700000.0,7.11,0.372,0.1629,0.1348,0.1001,0.1262,1725500100.0,1285100200.0,7.1597,7.161,7.161,793200100.0,792300000.0,0.2187,0.164,SJM
2021-04-30 00:00:00,8002700000.0,4864000000.0,3138700000.0,1523099900.0,1386800200.0,164000000.0,-214900000.0,177100000.0,1171900000.0,295600000.0,876300100.0,872600000.0,7.77,0.3922,0.1733,0.1464,0.109,0.1572,1839300200.0,1386800300.0,7.8241,7.8241,7.8241,876300100.0,876300000.0,0.2298,0.1956,SJM
2021-01-31 00:00:00,8174500000.0,4983100000.0,3191400000.0,1485400000.0,1494800900.0,169000000.0,-217800000.0,180300000.0,1277000000.0,321400000.0,955600000.0,953300000.0,8.4,0.3904,0.1829,0.1562,0.1166,0.1574,1946001000.0,1494800800.0,8.4451,8.4439,8.4439,955600000.0,955600000.0,0.2381,0.191,SJM
2020-10-31 00:00:00,8070100000.0,4928100000.0,3142000100.0,1472600000.0,1377600800.0,174000000.0,-219600000.0,181900000.0,1158000000.0,276500000.0,881500000.0,878100000.0,7.72,0.3893,0.1707,0.1435,0.1088,0.1654,1830400900.0,1377600700.0,7.765,7.7638,7.7638,881500000.0,881500000.0,0.2268,0.1979,SJM
2020-07-31 00:00:00,7993900000.0,4916100000.0,3077800100.0,1451300000.0,1326600800.0,,-193000000.0,185900000.0,1133600000.0,271700000.0,861900000.0,857200000.0,7.55,0.385,0.166,0.1418,0.1072,0.1463,1777200900.0,1326600700.0,7.5975,7.5963,7.5963,861900000.0,861900000.0,0.2223,0.1804,SJM
2020-04-30 00:00:00,7801000000.0,4799000000.0,3002000100.0,1474300000.0,1223100700.0,,-196400000.0,189200000.0,1026700000.0,247200000.0,779500000.0,775100000.0,6.83,0.3848,0.1568,0.1316,0.0994,0.1263,1669600800.0,1223100600.0,6.8739,6.8739,6.8739,779500000.0,779500000.0,0.214,0.1609,SJM
