Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,4945000000.0,1147000000.0,3798000000.0,1633000000.0,1104396000.0,1134953000.0,2000000.0,22000000.0,6000000.0,1102000000.0,75000000.0,1028016000.0,1033000000.0,6.59,0.768,0.2295,0.2229,0.2089,0.3203,1473000000.0,1134952800.0,6.5563,6.7165,6.7165,1028016000.0,1028000000.0,0.2979,0.347,SNPS
2022-04-30 00:00:00,4757000000.0,1051000000.0,3705000000.0,1559000000.0,1072689000.0,1102948000.0,3000000.0,45000000.0,4000000.0,1079000000.0,73000000.0,1006762000.0,1009000000.0,6.43,0.7789,0.2319,0.2268,0.2121,0.332,1421000000.0,1102947800.0,6.411,6.5801,6.5801,1006762000.0,1006000000.0,0.2987,0.357,SNPS
2022-01-31 00:00:00,4502323000.0,975986000.0,3525337000.0,1531345000.0,1052607000.0,933478000.0,4000000.0,78764000.0,3000000.0,954995000.0,48193000.0,907672000.0,909078000.0,5.82,0.783,0.2073,0.2121,0.2019,0.3032,1245136000.0,933477800.0,5.7693,5.9359,5.9359,907672000.0,906802000.0,0.2766,0.3275,SNPS
2021-10-31 00:00:00,4201644000.0,878985000.0,3321659000.0,1504813000.0,1039205000.0,734790000.0,4000000.0,117520000.0,2000000.0,805099000.0,49269000.0,756359000.0,757423000.0,4.89,0.7906,0.1749,0.1916,0.1803,0.3325,1017120000.0,734789800.0,4.8072,4.9533,4.9533,756359000.0,755830000.0,0.2421,0.3552,SNPS
2021-07-31 00:00:00,4076083000.0,860534000.0,3215549000.0,1430379000.0,1008859000.0,740634000.0,4000000.0,78954000.0,1000000.0,797665000.0,46280000.0,751777000.0,753878000.0,4.91,0.7889,0.1817,0.1957,0.185,0.2994,999416000.0,740633900.0,4.7887,4.934,4.934,751777000.0,751385000.0,0.2452,0.3249,SNPS
2021-04-30 00:00:00,3984217000.0,839542000.0,3144675000.0,1381981000.0,979831000.0,749309000.0,4000000.0,72210000.0,1000000.0,821519000.0,15223000.0,806296000.0,807789000.0,5.31,0.7893,0.1881,0.2062,0.2027,0.2963,1017664000.0,749308900.0,5.1458,5.3052,5.3052,806296000.0,806296000.0,0.2554,0.3268,SNPS
2021-01-31 00:00:00,3924028000.0,818564000.0,3105464000.0,1342238000.0,964355000.0,765676000.0,5000000.0,76702000.0,2000000.0,842378000.0,-22027000.0,864405000.0,865622000.0,4.76,0.7914,0.1951,0.2147,0.2206,0.2624,1039776000.0,765675900.0,5.5271,5.7007,5.7007,864405000.0,864405000.0,0.265,0.2994,SNPS
2020-10-31 00:00:00,3815034000.0,794830000.0,3020204000.0,1287341000.0,924913000.0,743223000.0,6000000.0,32217000.0,3000000.0,775440000.0,-36857000.0,812297000.0,813197000.0,4.39,0.7917,0.1948,0.2033,0.2132,0.3243,1019050000.0,743222900.0,5.2089,5.3681,5.3681,812297000.0,812297000.0,0.2671,0.362,SNPS
2020-07-31 00:00:00,3623976000.0,763149000.0,2860827000.0,1262058000.0,890217000.0,634607000.0,,48840000.0,,683447000.0,-36356000.0,719803000.0,719803000.0,4.16,0.7894,0.1751,0.1886,0.1986,0.2828,909264000.0,634607000.0,4.6285,4.7645,4.7645,719803000.0,719803000.0,0.2509,0.328,SNPS
2020-06-30 00:00:00,3510923200.0,752884000.0,2758039300.0,1229959100.0,884839100.0,553730300.0,,24486000.0,,578216000.0,-49390000.0,627606000.0,627606000.0,,0.7856,0.1577,0.1647,0.1788,0.2305,823800300.0,553730200.0,4.0396,4.1621,4.1621,627606000.0,627606000.0,0.2346,0.2878,SNPS
2020-04-30 00:00:00,3399759200.0,746508000.0,2653251300.0,1192161100.0,879358100.0,470726300.0,,3547000.0,,474273000.0,-351000.0,474624000.0,474624000.0,3.16,0.7804,0.1385,0.1395,0.1396,0.2255,737243300.0,470726200.0,3.0645,3.1567,3.1567,474624000.0,474624000.0,0.2169,0.2887,SNPS
2020-01-31 00:00:00,3374674200.0,752922000.0,2621752300.0,1179889100.0,885687100.0,460333300.0,,37691000.0,,498024000.0,15110000.0,482914000.0,482914000.0,3.22,0.7769,0.1364,0.1476,0.1431,0.2151,726130300.0,460333200.0,3.1206,3.2164,3.2164,482914000.0,482914000.0,0.2152,0.2828,SNPS
2019-10-31 00:00:00,3360694200.0,752946000.0,2607748300.0,1136932100.0,862108100.0,520231300.0,,25275000.0,,545506000.0,13139000.0,532367000.0,532367000.0,3.56,0.776,0.1548,0.1623,0.1584,0.178,784657300.0,520231200.0,3.4527,3.5521,3.5521,532367000.0,532367000.0,0.2335,0.2382,SNPS
2019-07-31 00:00:00,3304695300.0,760785000.0,2543910200.0,1137304000.0,867882000.0,452035200.0,,14096000.0,,466131000.0,-159850000.0,625981000.0,625981000.0,4.2,0.7698,0.1368,0.1411,0.1894,0.1685,709360200.0,452034900.0,4.0751,4.188,4.188,625981000.0,625981000.0,0.2147,0.2149,SNPS
2019-04-30 00:00:00,3231439300.0,759534000.0,2471905200.0,1129902000.0,885680000.0,388409200.0,,16704000.0,,405113000.0,-200348000.0,605461000.0,605461000.0,4.06,0.765,0.1202,0.1254,0.1874,0.1569,632053100.0,388408900.0,3.949,4.0572,4.0572,605461000.0,605461000.0,0.1956,0.1946,SNPS
2019-01-31 00:00:00,3172033300.0,747634000.0,2424399200.0,1091737000.0,876674000.0,399921200.0,,-9426000.0,,390495000.0,-199228000.0,589723000.0,589723000.0,3.96,0.7643,0.1261,0.1231,0.1859,0.0752,629831100.0,399920900.0,3.8499,3.9552,3.9552,589723000.0,589723000.0,0.1986,0.107,SNPS
