Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10331000000.0,4125000000.0,6206000000.0,2999000000.0,5130000000.0,242000000.0,2186000000.0,242000000.0,4971000000.0,1207000000.0,3765000000.0,3490000000.0,11.96,0.6007,0.4966,0.4812,0.3378,0.5678,4158000000.0,5130000000.0,12.8917,,12.946,,12.946,3765000000.0,,3764000000.0,0.4025,0.2352,SPGI
2022-06-30 00:00:00,9557000000.0,3417000000.0,6140000000.0,2707000000.0,5360000000.0,201000000.0,2131000000.0,202000000.0,5222000000.0,1275000000.0,3948000000.0,3679000000.0,13.42,0.6425,0.5608,0.5464,0.385,0.265,4062000000.0,5360000000.0,14.405,,14.4631,,14.4631,3948000000.0,,3947000000.0,0.425,0.2703,SPGI
2022-03-31 00:00:00,8670000000.0,2636000000.0,6034000000.0,2317000000.0,5032000000.0,140000000.0,1510000000.0,144000000.0,4975000000.0,1222000000.0,3754000000.0,3505000000.0,13.87,0.696,0.5804,0.5738,0.4043,0.6499,3989000000.0,5032000000.0,14.8517,,14.9126,,14.9126,3754000000.0,,3753000000.0,0.4601,0.352,SPGI
2021-12-31 00:00:00,8297000000.0,2277000000.0,6020000000.0,1719000000.0,4221000000.0,115000000.0,-1000000.0,119000000.0,4164000000.0,902000000.0,3263000000.0,3025000000.0,12.54,0.7256,0.5087,0.5019,0.3646,0.4294,4366000000.0,4221000000.0,13.4947,,13.5507,,13.5507,3263000000.0,,3262000000.0,0.5262,0.4337,SPGI
2021-09-30 00:00:00,8076000000.0,2210000000.0,5866000000.0,1753000000.0,3974000000.0,123000000.0,-22000000.0,127000000.0,3914000000.0,883000000.0,3031000000.0,2803000000.0,11.64,0.7263,0.4921,0.4846,0.3471,0.4636,4154000000.0,3974000000.0,12.5438,,12.5949,,12.5949,3031000000.0,,3031000000.0,0.5144,0.4704,SPGI
2021-06-30 00:00:00,7835000000.0,2143000000.0,5692000000.0,1666000000.0,3835000000.0,128000000.0,-359000000.0,131000000.0,3476000000.0,808000000.0,2668000000.0,2461000000.0,10.23,0.7265,0.4895,0.4437,0.3141,0.4541,4036000000.0,3835000000.0,11.0428,,11.0906,,11.0906,2668000000.0,,2668000000.0,0.5151,0.4647,SPGI
2021-03-31 00:00:00,7672000000.0,2103000000.0,5569000000.0,1587000000.0,3786000000.0,139000000.0,-379000000.0,139000000.0,3407000000.0,754000000.0,2653000000.0,2455000000.0,10.21,0.7259,0.4935,0.4441,0.32,0.4658,3993000000.0,3786000000.0,10.9793,,11.0268,,11.0268,2653000000.0,,2653000000.0,0.5205,0.4764,SPGI
2020-12-31 00:00:00,7442000000.0,2094000000.0,5348000000.0,1541000000.0,3617000000.0,141000000.0,-389000000.0,141000000.0,3228000000.0,694000000.0,2534000000.0,2339000000.0,9.71,0.7186,0.486,0.4338,0.3143,0.4691,3823000000.0,3617000000.0,10.4668,,10.5144,,10.5144,2534000000.0,,2534000000.0,0.5137,0.4793,SPGI
2020-09-30 00:00:00,7310000000.0,2080000000.0,5230000000.0,1265000000.0,3778000000.0,202000000.0,-459000000.0,145000000.0,3319000000.0,704000000.0,2615000000.0,2427000000.0,10.04,0.7155,0.5168,0.454,0.332,0.4581,3983000000.0,3778000000.0,10.7584,,10.8111,,10.8111,2615000000.0,,2615000000.0,0.5449,0.4692,SPGI
2020-06-30 00:00:00,7153000000.0,2043000000.0,5110000000.0,1242000000.0,3725000000.0,,-191000000.0,142000000.0,3534000000.0,755000000.0,2779000000.0,2589000000.0,10.67,0.7144,0.5208,0.4941,0.3619,0.4608,3925000000.0,3725000000.0,11.3827,,11.4433,,11.4433,2779000000.0,,2779000000.0,0.5487,0.4729,SPGI
2020-03-31 00:00:00,6914000000.0,2021000000.0,4893000000.0,1315000000.0,3433000000.0,,-192000000.0,139000000.0,3241000000.0,702000000.0,2539000000.0,2352000000.0,9.63,0.7077,0.4965,0.4688,0.3402,0.4421,3634000000.0,3433000000.0,10.3352,,10.3943,,10.3943,2539000000.0,,2539000000.0,0.5256,0.4575,SPGI
2019-12-31 00:00:00,6699000000.0,1976000000.0,4723000000.0,1342000000.0,3226000000.0,,-296000000.0,141000000.0,2930000000.0,627000000.0,2303000000.0,2123000000.0,8.65,0.705,0.4816,0.4374,0.3169,0.3972,3430000000.0,3226000000.0,9.3277,,9.3846,,9.3846,2303000000.0,,2303000000.0,0.512,0.4144,SPGI
2019-09-30 00:00:00,6500000000.0,1981000000.0,4519000000.0,1247000000.0,3112000000.0,,-242000000.0,141000000.0,2870000000.0,602000000.0,2268000000.0,2093000000.0,8.49,0.6952,0.4788,0.4415,0.322,0.3589,3320000000.0,3112000000.0,9.1327,,9.1981,,9.1981,2268000000.0,,2268000000.0,0.5108,0.3746,SPGI
