Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11174000000.0,572000000.0,12046000000.0,8577000000.0,3228000000.0,60000000.0,3168000000.0,430000000.0,2738000000.0,2626000000.0,7.06,1.078,0.0,0.2835,0.235,0.3134,7.3577,7.4565,7.4565,2738000000.0,2737000000.0,0.0,0.3837,STT
2022-06-30 00:00:00,11226000000.0,135000000.0,12077000000.0,8572000000.0,3260000000.0,65000000.0,3195000000.0,433000000.0,2762000000.0,2650000000.0,7.22,1.0758,0.0,0.2846,0.2361,0.3193,7.5247,7.6338,7.6338,2762000000.0,2761000000.0,0.0,0.388,STT
2022-03-31 00:00:00,11531000000.0,29000000.0,12158000000.0,8548000000.0,3362000000.0,42000000.0,3298000000.0,520000000.0,2778000000.0,2666000000.0,7.42,1.0544,0.0,0.286,0.2312,0.1893,7.6875,7.8064,7.8064,2778000000.0,2777000000.0,0.0,0.2576,STT
2021-12-31 00:00:00,11649000000.0,59000000.0,12027000000.0,8546000000.0,3236000000.0,23000000.0,3171000000.0,478000000.0,2693000000.0,2572000000.0,7.24,1.0324,0.0,0.2722,0.2208,-0.5444,7.5231,7.6383,7.6383,2693000000.0,2692000000.0,0.0,-0.4748,STT
2021-09-30 00:00:00,11723000000.0,,11891000000.0,8516000000.0,3133000000.0,-15000000.0,3082000000.0,549000000.0,2533000000.0,2408000000.0,6.87,1.0143,0.0,0.2629,0.2054,-0.6014,7.1537,7.2601,7.2601,2533000000.0,2533000000.0,0.0,-0.5424,STT
2021-06-30 00:00:00,11745000000.0,,11685000000.0,8511000000.0,2935000000.0,-48000000.0,2887000000.0,513000000.0,2374000000.0,2232000000.0,6.38,0.9949,0.0,0.2458,0.19,-1.1763,6.6878,6.7808,6.7808,2374000000.0,2374000000.0,0.0,-1.1212,STT
2021-03-31 00:00:00,11763000000.0,175000000.0,11588000000.0,8553000000.0,2801000000.0,-49000000.0,2752000000.0,447000000.0,2305000000.0,2166000000.0,6.15,0.9851,0.0,0.234,0.1841,-0.4121,6.4648,6.5456,6.5456,2305000000.0,2305000000.0,0.0,-0.3604,STT
2020-12-31 00:00:00,12078000000.0,375000000.0,11703000000.0,8520000000.0,2949000000.0,-50000000.0,2899000000.0,479000000.0,2420000000.0,2257000000.0,6.38,0.969,0.0,0.24,0.1869,0.2461,6.7767,6.8581,6.8581,2420000000.0,2420000000.0,0.0,0.2924,STT
2020-09-30 00:00:00,12465000000.0,631000000.0,11834000000.0,8638000000.0,2963000000.0,-76000000.0,2896000000.0,449000000.0,2447000000.0,2251000000.0,6.72,0.9494,0.0,0.2323,0.1806,0.0501,6.8134,6.8935,6.8935,2447000000.0,2447000000.0,0.0,0.097,STT
2020-06-30 00:00:00,12899000000.0,946000000.0,11953000000.0,8705000000.0,3015000000.0,-88000000.0,2936000000.0,461000000.0,2475000000.0,2262000000.0,6.69,0.9267,0.0,0.2276,0.1754,0.8321,6.8326,6.9091,6.9091,2475000000.0,2475000000.0,0.0,0.8832,STT
