Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10581000000.0,7581000000.0,3000000000.0,942000000.0,555000000.0,1476000000.0,254000000.0,0.0,66000000.0,1173000000.0,21000000.0,1152000000.0,1152000000.0,5.2,0.2835,0.1395,0.1109,0.1089,0.0955,2010000000.0,1476000000.0,5.2227,5.3075,5.3075,1152000000.0,1152000000.0,0.19,0.1329,STX
2022-06-30 00:00:00,11661000000.0,8192000000.0,3469000000.0,941000000.0,558000000.0,1955000000.0,239000000.0,-13000000.0,124000000.0,1679000000.0,30000000.0,1649000000.0,1649000000.0,7.34,0.2975,0.1677,0.144,0.1414,0.1094,2438000000.0,1955000000.0,7.3617,7.4955,7.4955,1649000000.0,1649000000.0,0.2091,0.1421,STX
2022-03-31 00:00:00,12046000000.0,8450000000.0,3596000000.0,926000000.0,545000000.0,2102000000.0,233000000.0,-39000000.0,182000000.0,1895000000.0,40000000.0,1855000000.0,1855000000.0,8.18,0.2985,0.1745,0.1573,0.154,0.1263,2542000000.0,2102000000.0,8.0609,8.2071,8.2071,1855000000.0,1855000000.0,0.211,0.1623,STX
2021-12-31 00:00:00,11975000000.0,8444000000.0,3531000000.0,920000000.0,530000000.0,2059000000.0,232000000.0,-70000000.0,178000000.0,1883000000.0,45000000.0,1838000000.0,1838000000.0,8.03,0.2949,0.1719,0.1572,0.1535,0.12,2477000000.0,2059000000.0,7.8905,8.0319,8.0319,1838000000.0,1838000000.0,0.2068,0.1564,STX
2021-09-30 00:00:00,11482000000.0,8206000000.0,3276000000.0,913000000.0,516000000.0,1827000000.0,225000000.0,-103000000.0,229000000.0,1660000000.0,43000000.0,1617000000.0,1617000000.0,6.92,0.2853,0.1591,0.1446,0.1408,0.1154,2233000000.0,1827000000.0,6.7793,6.8894,6.8894,1617000000.0,1617000000.0,0.1945,0.1589,STX
2021-06-30 00:00:00,10681000000.0,7764000000.0,2917000000.0,903000000.0,502000000.0,1492000000.0,217000000.0,-144000000.0,220000000.0,1348000000.0,34000000.0,1314000000.0,1314000000.0,5.51,0.2731,0.1397,0.1262,0.123,0.106,1889000000.0,1492000000.0,5.3632,5.4297,5.4297,1314000000.0,1314000000.0,0.1769,0.1522,STX
2021-03-31 00:00:00,10185000000.0,7486000000.0,2699000000.0,893000000.0,478000000.0,1252000000.0,209000000.0,-241000000.0,210000000.0,1011000000.0,13000000.0,998000000.0,998000000.0,4.05,0.265,0.1229,0.0993,0.098,0.1033,1646000000.0,1252000000.0,3.9959,4.0446,4.0446,998000000.0,998000000.0,0.1616,0.1508,STX
2020-12-31 00:00:00,10172000000.0,7467000000.0,2705000000.0,912000000.0,471000000.0,1242000000.0,200000000.0,-232000000.0,200000000.0,1010000000.0,21000000.0,989000000.0,989000000.0,3.87,0.2659,0.1221,0.0993,0.0972,0.1017,1631000000.0,1242000000.0,3.8244,3.8587,3.8587,989000000.0,989000000.0,0.1603,0.1522,STX
2020-09-30 00:00:00,10245000000.0,7478000000.0,2767000000.0,941000000.0,469000000.0,1278000000.0,196000000.0,-223000000.0,196000000.0,1055000000.0,28000000.0,1027000000.0,1027000000.0,3.96,0.2701,0.1247,0.103,0.1002,0.0983,1664000000.0,1278000000.0,3.9089,3.9479,3.9479,1027000000.0,1027000000.0,0.1624,0.1518,STX
2020-06-30 00:00:00,10509000000.0,7667000000.0,2842000000.0,973000000.0,473000000.0,1300000000.0,,-268000000.0,201000000.0,1032000000.0,28000000.0,1004000000.0,1004000000.0,3.84,0.2704,0.1237,0.0982,0.0955,0.1075,1679000000.0,1300000000.0,3.7886,3.8321,3.8321,1004000000.0,1004000000.0,0.1598,0.1631,STX
