Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12453000000.0,1142000000.0,15866000000.0,11598000000.0,4268000000.0,4268000000.0,1016000000.0,3252000000.0,3210000000.0,6.32,1.2741,0.0,0.3427,0.2578,0.5501,6.428,6.4718,6.4718,3252000000.0,3252000000.0,0.0,0.5501,SYF
2022-06-30 00:00:00,11850000000.0,968000000.0,15646000000.0,10800000000.0,4846000000.0,4846000000.0,1156000000.0,3690000000.0,3648000000.0,6.85,1.3203,0.0,0.4089,0.3078,0.5934,6.9518,7.0066,7.0066,3690000000.0,3690000000.0,0.0,0.5934,SYF
2022-03-31 00:00:00,12372000000.0,962000000.0,15047000000.0,9626000000.0,5421000000.0,5421000000.0,1293000000.0,4128000000.0,4087000000.0,7.38,1.2162,0.0,0.4382,0.3303,0.538,7.4636,7.5276,7.5276,4128000000.0,4128000000.0,0.0,0.538,SYF
2021-12-31 00:00:00,13219000000.0,1032000000.0,14720000000.0,9217000000.0,5503000000.0,5503000000.0,1282000000.0,4221000000.0,4179000000.0,7.35,1.1135,0.0,0.4163,0.3161,0.537,7.4143,7.4761,7.4761,4221000000.0,4221000000.0,0.0,0.537,SYF
2021-09-30 00:00:00,14341000000.0,1143000000.0,14464000000.0,9064000000.0,5400000000.0,5400000000.0,1254000000.0,4146000000.0,4104000000.0,7.12,1.0086,0.0,0.3765,0.2862,0.5007,7.1532,7.2046,7.2046,4146000000.0,4146000000.0,0.0,0.5007,SYF
2021-06-30 00:00:00,15583000000.0,1283000000.0,14300000000.0,9988000000.0,4312000000.0,4312000000.0,994000000.0,3318000000.0,3277000000.0,5.64,0.9177,0.0,0.2767,0.2103,0.4395,5.6711,5.7054,5.7054,3318000000.0,3318000000.0,0.0,0.4395,SYF
2021-03-31 00:00:00,15841000000.0,1451000000.0,14390000000.0,11660000000.0,2730000000.0,2730000000.0,606000000.0,2124000000.0,2082000000.0,3.57,0.9084,0.0,0.1723,0.1314,0.4917,3.6181,3.6358,3.6358,2124000000.0,2124000000.0,0.0,0.4917,SYF
2020-12-31 00:00:00,16472000000.0,1665000000.0,14807000000.0,13010000000.0,1797000000.0,1797000000.0,412000000.0,1385000000.0,1343000000.0,2.28,0.8989,0.0,0.1091,0.0815,0.4545,2.3443,2.3514,2.3514,1385000000.0,1385000000.0,0.0,0.4545,SYF
2020-09-30 00:00:00,17086000000.0,1887000000.0,15199000000.0,13425000000.0,1774000000.0,1774000000.0,396000000.0,1378000000.0,1346000000.0,2.18,0.8896,0.0,0.1038,0.0788,0.4528,2.2517,2.2627,2.2627,1378000000.0,1378000000.0,0.0,0.4528,SYF
2020-06-30 00:00:00,18184000000.0,2099000000.0,16085000000.0,13348000000.0,2737000000.0,2737000000.0,616000000.0,2121000000.0,2099000000.0,3.26,0.8846,0.0,0.1505,0.1154,0.4759,3.3124,3.3307,3.3307,2121000000.0,2121000000.0,0.0,0.4759,SYF
2020-03-31 00:00:00,19087000000.0,2248000000.0,16839000000.0,13032000000.0,3807000000.0,3807000000.0,881000000.0,2926000000.0,2915000000.0,4.45,0.8822,0.0,0.1995,0.1527,0.4316,4.4728,4.4963,4.4963,2926000000.0,2926000000.0,0.0,0.4316,SYF
2019-12-31 00:00:00,19461000000.0,2291000000.0,17170000000.0,12283000000.0,4887000000.0,4887000000.0,1140000000.0,3747000000.0,3747000000.0,5.57,0.8823,0.0,0.2511,0.1925,0.4619,5.5635,5.5908,5.5908,3747000000.0,3747000000.0,0.0,0.4619,SYF
2019-09-30 00:00:00,19712000000.0,2278000000.0,17434000000.0,12456000000.0,4978000000.0,4978000000.0,1179000000.0,3799000000.0,3799000000.0,5.51,0.8844,0.0,0.2525,0.1927,0.4682,5.4785,5.5014,5.5014,3799000000.0,3799000000.0,0.0,0.4682,SYF
2019-06-30 00:00:00,19403000000.0,2174000000.0,17229000000.0,12733000000.0,4496000000.0,4496000000.0,1082000000.0,3414000000.0,3414000000.0,4.82,0.888,0.0,0.2317,0.176,0.4904,4.7908,4.8103,4.8103,3414000000.0,3414000000.0,0.0,0.4904,SYF
