Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,315118000000.0,238799000000.0,76319000000.0,27085000000.0,-1847000000.0,1847000000.0,25238000000.0,5316000000.0,19922000000.0,19430000000.0,20.42,0.2422,0.086,0.0801,0.0617,0.0994,30274000000.0,27085000000.0,20.9328,21.2381,21.2381,19922000000.0,19922000000.0,0.0961,0.1078,UNH
2022-06-30 00:00:00,306561000000.0,232962000000.0,73599000000.0,25335000000.0,-1753000000.0,1753000000.0,23582000000.0,4853000000.0,18729000000.0,18254000000.0,19.15,0.2401,0.0826,0.0769,0.0595,0.0667,28492000000.0,25335000000.0,19.642,19.9241,19.9241,18729000000.0,18729000000.0,0.0929,0.075,UNH
2022-03-31 00:00:00,297550000000.0,226479000000.0,71071000000.0,24181000000.0,-1696000000.0,1696000000.0,22485000000.0,4583000000.0,17902000000.0,17450000000.0,18.27,0.2389,0.0813,0.0756,0.0586,0.0646,27314000000.0,24181000000.0,18.7426,19.0069,19.0069,17902000000.0,17902000000.0,0.0918,0.0728,UNH
2021-12-31 00:00:00,287597000000.0,217945000000.0,69652000000.0,23970000000.0,-1660000000.0,1660000000.0,22310000000.0,4578000000.0,17732000000.0,17285000000.0,18.08,0.2422,0.0833,0.0776,0.0601,0.0692,27073000000.0,23970000000.0,18.5481,18.8038,18.8038,17732000000.0,17732000000.0,0.0941,0.0777,UNH
2021-09-30 00:00:00,279321000000.0,211490000000.0,67831000000.0,21946000000.0,-1630000000.0,1630000000.0,20316000000.0,4423000000.0,15893000000.0,15426000000.0,16.12,0.2428,0.0786,0.0727,0.0552,0.082,25010000000.0,21946000000.0,16.6109,16.8254,16.8254,15893000000.0,15893000000.0,0.0895,0.0903,UNH
2021-06-30 00:00:00,272099000000.0,205957000000.0,66142000000.0,20885000000.0,-1603000000.0,1603000000.0,19282000000.0,4324000000.0,14958000000.0,14512000000.0,15.14,0.2431,0.0768,0.0709,0.0533,0.068,23872000000.0,20885000000.0,15.607,15.8085,15.8085,14958000000.0,14958000000.0,0.0877,0.0763,UNH
2021-03-31 00:00:00,262916000000.0,193930000000.0,68986000000.0,24148000000.0,-1623000000.0,1623000000.0,22525000000.0,5243000000.0,17282000000.0,16883000000.0,17.59,0.2624,0.0918,0.0857,0.0642,0.0878,27074000000.0,24148000000.0,18.0088,18.2329,18.2329,17282000000.0,17282000000.0,0.103,0.096,UNH
2020-12-31 00:00:00,257141000000.0,190141000000.0,67000000000.0,22405000000.0,-1663000000.0,1663000000.0,20742000000.0,4973000000.0,15769000000.0,15403000000.0,16.03,0.2606,0.0871,0.0807,0.0599,0.0783,25296000000.0,22405000000.0,16.409,16.6164,16.6164,15769000000.0,15769000000.0,0.0984,0.0862,UNH
2020-09-30 00:00:00,252575000000.0,186224000000.0,66351000000.0,23983000000.0,-1699000000.0,1699000000.0,22284000000.0,5199000000.0,17085000000.0,16732000000.0,17.41,0.2627,0.095,0.0882,0.0662,0.0798,26860000000.0,23983000000.0,17.7736,18.0069,18.0069,17085000000.0,17085000000.0,0.1063,0.0882,UNH
2020-06-30 00:00:00,247811000000.0,182321000000.0,65490000000.0,24346000000.0,-1753000000.0,1753000000.0,22593000000.0,5135000000.0,17458000000.0,17098000000.0,17.78,0.2643,0.0982,0.0912,0.069,0.0819,27213000000.0,24346000000.0,18.1574,18.4035,18.4035,17458000000.0,17458000000.0,0.1098,0.09,UNH
2020-03-31 00:00:00,246268000000.0,186924000000.0,59344000000.0,19849000000.0,-1741000000.0,1741000000.0,18108000000.0,3961000000.0,14147000000.0,13754000000.0,14.29,0.241,0.0806,0.0735,0.0558,0.0658,22653000000.0,19849000000.0,14.6938,14.9109,14.9109,14147000000.0,14147000000.0,0.092,0.0738,UNH
2019-12-31 00:00:00,242155000000.0,184557000000.0,57598000000.0,19685000000.0,-1704000000.0,1704000000.0,17981000000.0,3742000000.0,14239000000.0,13839000000.0,14.33,0.2379,0.0813,0.0743,0.0571,0.0677,22405000000.0,19685000000.0,14.7401,14.9726,14.9726,14239000000.0,14239000000.0,0.0925,0.0762,UNH
2019-09-30 00:00:00,239671000000.0,183350000000.0,56321000000.0,19087000000.0,-1641000000.0,1641000000.0,17446000000.0,3711000000.0,13735000000.0,13338000000.0,13.75,0.235,0.0796,0.0728,0.0557,0.0529,21726000000.0,19087000000.0,14.1557,14.385,14.385,13735000000.0,13735000000.0,0.0906,0.0611,UNH
2019-06-30 00:00:00,235876000000.0,180558000000.0,55318000000.0,18663000000.0,-1545000000.0,1545000000.0,17118000000.0,3728000000.0,13390000000.0,12988000000.0,13.32,0.2345,0.0791,0.0726,0.0551,0.0439,21204000000.0,18663000000.0,13.7281,13.9747,13.9747,13390000000.0,13390000000.0,0.0899,0.0528,UNH
