Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,100835000000.0,78982000000.0,21853000000.0,47229000000.0,13790000000.0,683000000.0,593000000.0,1359000000.0,14320000000.0,3132000000.0,11188000000.0,11188000000.0,12.76,0.2167,0.1368,0.142,0.111,0.1005,16807000000.0,13790000000.0,12.7573,12.8085,12.8085,11188000000.0,11188000000.0,0.1667,0.139,UPS
2022-06-30 00:00:00,99930000000.0,78392000000.0,21538000000.0,37493000000.0,13573000000.0,684000000.0,534000000.0,1276000000.0,14044000000.0,3111000000.0,10933000000.0,10933000000.0,12.45,0.2155,0.1358,0.1405,0.1094,0.1096,16664000000.0,13573000000.0,12.4436,12.5001,12.5001,10933000000.0,10933000000.0,0.1668,0.1486,UPS
2022-03-31 00:00:00,98655000000.0,65110000000.0,33545000000.0,37462000000.0,13296000000.0,679000000.0,544000000.0,1052000000.0,13783000000.0,3023000000.0,10760000000.0,10760000000.0,12.26,0.34,0.1348,0.1397,0.1091,0.1207,16390000000.0,13296000000.0,12.2391,12.2987,12.2987,10760000000.0,10760000000.0,0.1661,0.1516,UPS
2021-12-31 00:00:00,97226000000.0,51495000000.0,45731000000.0,37329000000.0,12810000000.0,683000000.0,3856000000.0,886000000.0,16595000000.0,3705000000.0,12890000000.0,12890000000.0,14.73,0.4704,0.1318,0.1707,0.1326,0.1202,15848000000.0,12810000000.0,14.681,14.7483,14.7483,12890000000.0,12890000000.0,0.163,0.1544,UPS
2021-09-30 00:00:00,94390000000.0,36496000000.0,57894000000.0,37103000000.0,10956000000.0,688000000.0,-2588000000.0,814000000.0,8345000000.0,1895000000.0,6450000000.0,6450000000.0,7.46,0.6133,0.1161,0.0884,0.0683,0.0961,13919000000.0,10956000000.0,7.3203,7.3513,7.3513,6450000000.0,6450000000.0,0.1475,0.1371,UPS
2021-06-30 00:00:00,92466000000.0,23183000000.0,69283000000.0,46410000000.0,10423000000.0,685000000.0,-2546000000.0,695000000.0,7877000000.0,1799000000.0,6078000000.0,6078000000.0,7.06,0.7493,0.1127,0.0852,0.0657,0.0957,13273000000.0,10423000000.0,6.915,6.9442,6.9442,6078000000.0,6078000000.0,0.1435,0.1402,UPS
2021-03-31 00:00:00,89501000000.0,21992000000.0,67509000000.0,45926000000.0,9377000000.0,699000000.0,-2579000000.0,711000000.0,6798000000.0,1628000000.0,5170000000.0,5170000000.0,6.04,0.7543,0.1048,0.076,0.0578,0.0802,12149000000.0,9377000000.0,5.9017,5.9275,5.9275,5170000000.0,5170000000.0,0.1357,0.139,UPS
2020-12-31 00:00:00,84628000000.0,20578000000.0,64050000000.0,44529000000.0,7684000000.0,686000000.0,-5840000000.0,701000000.0,1844000000.0,501000000.0,1343000000.0,1343000000.0,1.65,0.7568,0.0908,0.0218,0.0159,0.0601,10382000000.0,7684000000.0,1.5419,1.549,1.549,1343000000.0,1343000000.0,0.1227,0.1236,UPS
2020-09-30 00:00:00,80300000000.0,19079000000.0,61221000000.0,42708000000.0,7780000000.0,653000000.0,-1846000000.0,692000000.0,5934000000.0,1350000000.0,4584000000.0,4584000000.0,5.28,0.7624,0.0969,0.0739,0.0571,0.0869,10396000000.0,7780000000.0,5.2696,5.2956,5.2956,4584000000.0,4584000000.0,0.1295,0.1523,UPS
2020-06-30 00:00:00,77380000000.0,18241000000.0,59139000000.0,41221000000.0,7545000000.0,,-1930000000.0,675000000.0,5615000000.0,1238000000.0,4377000000.0,4377000000.0,5.04,0.7643,0.0975,0.0726,0.0566,0.0628,10071000000.0,7545000000.0,5.0368,5.0665,5.0665,4377000000.0,4377000000.0,0.1301,0.1341,UPS
2020-03-31 00:00:00,74969000000.0,17802000000.0,57167000000.0,39677000000.0,7476000000.0,,-2014000000.0,651000000.0,5462000000.0,1168000000.0,4294000000.0,4294000000.0,4.94,0.7625,0.0997,0.0729,0.0573,0.0424,9916000000.0,7476000000.0,4.9413,4.9729,4.9729,4294000000.0,4294000000.0,0.1323,0.1189,UPS
