Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2213945000.0,2213945000.0,42341000.0,1207092000.0,-399266000.0,3942000.0,807826000.0,2603000.0,805223000.0,795061000.0,1.07,1.0,0.5452,0.3649,0.3591,0.7897,1259062000.0,1207092000.0,1.0773,1.0848,1.0848,805223000.0,805223000.0,0.5687,0.7863,VICI
2022-06-30 00:00:00,1838106000.0,1838106000.0,38657000.0,1071453000.0,-240033000.0,944000.0,635103000.0,2574000.0,632529000.0,626018000.0,1.01,1.0,0.5829,0.3455,0.3406,0.7881,1153186000.0,1071453000.0,1.015,1.0305,1.0305,632529000.0,632529000.0,0.6274,0.7818,VICI
2022-03-31 00:00:00,1551883000.0,1551883000.0,34503000.0,1395462000.0,-202595000.0,79970000.0,996550000.0,2803000.0,993747000.0,984433000.0,1.63,1.0,0.8992,0.6422,0.6343,0.6768,1479275000.0,1395462000.0,1.6264,1.66,1.66,993747000.0,993747000.0,0.9532,0.6694,VICI
2021-12-31 00:00:00,1509568000.0,1509568000.0,33122000.0,1433937000.0,-211575000.0,156925000.0,1026045000.0,2887000.0,1023158000.0,1013851000.0,1.78,1.0,0.9499,0.6797,0.6716,0.6009,1508480000.0,1433937000.0,1.773,1.8126,1.8126,1023158000.0,1023158000.0,0.9993,0.5938,VICI
2021-09-30 00:00:00,1499431900.0,1499431900.0,32193000.0,1447203900.0,-218551000.0,234300000.0,1032336000.0,2564000.0,1029772000.0,1020382000.0,1.88,1.0,0.9652,0.6885,0.6805,0.6508,1505355900.0,1447203900.0,1.9222,1.9692,1.9692,1029772000.0,1029772000.0,1.004,0.6369,VICI
2021-06-30 00:00:00,1463380900.0,1463380900.0,31861000.0,1241619900.0,21994000.0,311673000.0,1263614000.0,1808000.0,1261806000.0,1256794000.0,2.35,1.0,0.8485,0.8635,0.8588,0.6994,1270180900.0,1241619900.0,2.3741,2.4163,2.4163,1261806000.0,1261806000.0,0.868,0.6667,VICI
2021-03-31 00:00:00,1344882900.0,1344882900.0,31731000.0,1166146900.0,25086000.0,309560000.0,1191233000.0,861000.0,1190372000.0,1185487000.0,2.26,1.0,0.8671,0.8858,0.8815,0.7058,1190066900.0,1166146900.0,2.301,2.3253,2.3253,1190372000.0,1190372000.0,0.8849,0.6706,VICI
2020-12-31 00:00:00,1225573900.0,1225573900.0,30661000.0,904555900.0,-7517000.0,308605000.0,897039000.0,831000.0,896208000.0,891674000.0,1.71,1.0,0.7381,0.7319,0.7276,0.7596,928158900.0,904555900.0,1.7542,1.7707,1.7707,896208000.0,896208000.0,0.7573,0.721,VICI
2020-09-30 00:00:00,1090093000.0,1090093000.0,27669000.0,763098000.0,-55587000.0,302633000.0,707511000.0,1002000.0,706509000.0,702295000.0,1.38,1.0,0.7,0.649,0.6443,0.7456,797329000.0,763098000.0,1.3627,1.3743,1.3743,706509000.0,706509000.0,0.7314,0.7196,VICI
2020-06-30 00:00:00,972953000.0,972953000.0,26339000.0,831795000.0,-373595000.0,293765000.0,458200000.0,1394000.0,456806000.0,448456000.0,0.94,1.0,0.8549,0.4709,0.4609,0.7547,876564000.0,831795000.0,0.9383,0.9496,0.9496,456806000.0,456806000.0,0.9009,0.7582,VICI
