Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1396008000.0,199568000.0,1196440000.0,85044000.0,191711000.0,919703100.0,75328000.0,6760000.0,56644000.0,851288000.0,26906000.0,824430000.0,824382000.0,7.52,0.857,0.6588,0.6098,0.5905,0.5639,967243000.0,919703100.0,7.5042,,7.5101,,7.5101,824430000.0,,824382000.0,0.6929,0.5877,VRSN
2022-06-30 00:00:00,1373350000.0,197369000.0,1175981000.0,83610000.0,188181000.0,904203100.0,75357000.0,1913000.0,37955000.0,831028000.0,19524000.0,811530000.0,811504000.0,7.34,0.8563,0.6584,0.6051,0.5909,0.5656,952380000.0,904203100.0,7.3223,,7.3295,,7.3295,811530000.0,,811504000.0,0.6935,0.5959,VRSN
2022-03-31 00:00:00,1350850000.0,195669000.0,1155181000.0,83110000.0,190881000.0,881203100.0,79521000.0,-24787000.0,42155000.0,800228000.0,8324000.0,791930000.0,791904000.0,7.11,0.8552,0.6523,0.5924,0.5862,0.5648,929480000.0,881203100.0,7.0975,,7.1059,,7.1059,791930000.0,,791904000.0,0.6881,0.604,VRSN
2021-12-31 00:00:00,1327550000.0,191969000.0,1135581000.0,80510000.0,188281000.0,866803100.0,83255000.0,-47187000.0,45855000.0,782228000.0,-2576000.0,784830000.0,784804000.0,7.01,0.8554,0.6529,0.5892,0.5912,0.5681,914780000.0,866803100.0,6.997,,7.0065,,7.0065,784830000.0,,784804000.0,0.6891,0.608,VRSN
2021-09-30 00:00:00,1307526000.0,188573000.0,1118953000.0,79069000.0,190671000.0,849208000.0,86964000.0,-68759000.0,68248000.0,761736000.0,149700000.0,612014000.0,612036000.0,5.42,0.8558,0.6495,0.5826,0.4681,0.5737,896734000.0,849208100.0,5.4377,,5.4441,,5.4441,612014000.0,,612036000.0,0.6858,0.6089,VRSN
2021-06-30 00:00:00,1291163000.0,185796000.0,1105367000.0,79211000.0,191599000.0,834557000.0,90672000.0,-90574000.0,90674000.0,743983000.0,117590000.0,626393000.0,626393000.0,5.51,0.8561,0.6464,0.5762,0.4851,0.4878,881668000.0,834557100.0,5.526,,5.5333,,5.5333,626393000.0,,626393000.0,0.6828,0.5233,VRSN
2021-03-31 00:00:00,1276128000.0,181604000.0,1094524000.0,77613000.0,188574000.0,828337000.0,90143000.0,-80606000.0,90109000.0,747731000.0,116559000.0,631172000.0,631172000.0,5.52,0.8577,0.6491,0.5859,0.4946,0.5559,875057000.0,828337100.0,5.5328,,5.5411,,5.5411,631172000.0,,631172000.0,0.6857,0.5865,VRSN
2020-12-31 00:00:00,1265052000.0,180177000.0,1084875000.0,74671000.0,186003000.0,824201000.0,90144000.0,-73957000.0,90144000.0,750244000.0,-64644000.0,814888000.0,814888000.0,7.06,0.8576,0.6515,0.5931,0.6442,0.5429,870553000.0,824201100.0,7.0677,,7.0823,,7.0823,814888000.0,,814888000.0,0.6882,0.5772,VRSN
2020-09-30 00:00:00,1255311000.0,180659000.0,1074652000.0,70369000.0,186024000.0,818259000.0,90319000.0,-65934000.0,90319000.0,752325000.0,-53574000.0,805899000.0,805899000.0,6.95,0.8561,0.6518,0.5993,0.642,0.5439,874996000.0,818259100.0,6.9328,,6.9511,,6.9511,805899000.0,,805899000.0,0.697,0.5804,VRSN
2020-06-30 00:00:00,1245853000.0,180078000.0,1065775000.0,65280000.0,183269000.0,817226000.0,,-56307000.0,90415000.0,760919000.0,-27914000.0,788833000.0,788833000.0,6.76,0.8555,0.656,0.6108,0.6332,0.6061,869192000.0,817226100.0,6.7419,,6.7621,,6.7621,788833000.0,,788833000.0,0.6977,0.6398,VRSN
2020-03-31 00:00:00,1237777000.0,180536000.0,1057241000.0,62031000.0,183071000.0,812139000.0,,-52374000.0,90515000.0,759765000.0,-24123000.0,783888000.0,783888000.0,6.68,0.8541,0.6561,0.6138,0.6333,0.5691,861962000.0,812139100.0,6.6582,,6.6803,,6.6803,783888000.0,,783888000.0,0.6964,0.6032,VRSN
2019-12-31 00:00:00,1231661000.0,180467000.0,1051194000.0,60805000.0,184262000.0,806127000.0,,-47351000.0,90611000.0,758776000.0,146477000.0,612299000.0,612299000.0,5.17,0.8535,0.6545,0.6161,0.4971,0.5794,852457000.0,806127100.0,5.1467,,5.1664,,5.1664,612299000.0,,612299000.0,0.6921,0.6121,VRSN
2019-09-30 00:00:00,1228570000.0,182381000.0,1046189000.0,60746000.0,183916000.0,801527000.0,,6174000.0,90533000.0,807701000.0,161532000.0,646169000.0,646169000.0,5.41,0.8516,0.6524,0.6574,0.526,0.6022,831987000.0,801527000.0,5.3786,,5.395,,5.395,646169000.0,,646169000.0,0.6772,0.6339,VRSN
2019-06-30 00:00:00,1225926000.0,186187000.0,1039739000.0,59839000.0,188992000.0,790908000.0,,1613000.0,90531000.0,792521000.0,162585000.0,629936000.0,629936000.0,5.24,0.8481,0.6452,0.6465,0.5138,0.587,821712000.0,790908000.0,5.2066,,5.2243,,5.2243,629936000.0,,629936000.0,0.6703,0.6184,VRSN
2019-03-31 00:00:00,1222089000.0,189486000.0,1032603000.0,58641000.0,191737000.0,782225000.0,,-15320000.0,96688000.0,766905000.0,156152000.0,610753000.0,610753000.0,5.13,0.8449,0.6401,0.6275,0.4998,0.6191,812083000.0,782225000.0,5.0124,,5.1107,,5.1107,610753000.0,,610753000.0,0.6645,0.6506,VRSN
2018-12-31 00:00:00,1214969000.0,192134000.0,1022835000.0,57884000.0,197559000.0,767392000.0,,-37876000.0,114845000.0,729516000.0,147027000.0,582489000.0,582489000.0,5.15,0.8419,0.6316,0.6004,0.4794,0.5438,797500000.0,767392000.0,4.7487,,5.1342,,5.1342,582489000.0,,582489000.0,0.6564,0.5743,VRSN
2018-09-30 00:00:00,1203018000.0,191446000.0,1011572000.0,55615000.0,206099000.0,749858000.0,,-112197000.0,132678000.0,637661000.0,134530000.0,503131000.0,503131000.0,4.69,0.8409,0.6233,0.5301,0.4182,0.532,769180000.0,749857900.0,4.0829,,4.6886,,4.6886,503131000.0,,503131000.0,0.6394,0.564,VRSN
2018-06-30 00:00:00,1189669000.0,190530000.0,999139000.0,54618000.0,208601000.0,735920000.0,,-127016000.0,147803000.0,608904000.0,128554000.0,480350000.0,480350000.0,4.71,0.8398,0.6186,0.5118,0.4038,0.5182,759814000.0,735919900.0,3.8829,,4.7105,,4.7105,480350000.0,,480350000.0,0.6387,0.5595,VRSN
2018-03-31 00:00:00,1175769000.0,190809000.0,984960000.0,54373000.0,212717000.0,717870000.0,,-113972000.0,148101000.0,603898000.0,128799000.0,475099000.0,475099000.0,4.8,0.8377,0.6106,0.5136,0.4041,0.5078,746046000.0,717869900.0,3.834,,4.8021,,4.8021,475099000.0,,475099000.0,0.6345,0.5482,VRSN
2017-12-31 00:00:00,1165095000.0,193326000.0,971769000.0,52342000.0,211705000.0,707722000.0,,-108710000.0,136336000.0,599012000.0,141764000.0,457248000.0,457248000.0,4.56,0.8341,0.6074,0.5141,0.3925,0.5607,742740000.0,707721900.0,3.6822,,4.5576,,4.5576,457248000.0,,457248000.0,0.6375,0.6032,VRSN
2017-09-30 00:00:00,1155865000.0,194746000.0,961119000.0,53314000.0,207753000.0,700052000.0,,-101234000.0,124851000.0,598818000.0,138855000.0,459962900.0,459963000.0,4.52,0.8315,0.6057,0.5181,0.3979,0.5721,751418000.0,700051900.0,3.6953,,4.5213,,4.5213,459962900.0,,459963000.0,0.6501,0.613,VRSN
2017-06-30 00:00:00,1150991000.0,197220000.0,953771000.0,54923000.0,205079000.0,693769000.0,,-95376000.0,116014000.0,598393000.0,138902000.0,459490900.0,459491000.0,4.45,0.8287,0.6028,0.5199,0.3992,0.5846,751446000.0,693768900.0,3.6649,,4.4443,,4.4443,459490900.0,,459491000.0,0.6529,0.6124,VRSN
2017-03-31 00:00:00,1148905000.0,198329000.0,950576000.0,55701000.0,199799000.0,695076000.0,,-107438000.0,115783000.0,587638000.0,138037000.0,449600900.0,449601000.0,4.28,0.8274,0.605,0.5115,0.3913,0.5766,757824000.0,695075900.0,3.5389,,4.2738,,4.2738,449600900.0,,449601000.0,0.6596,0.6019,VRSN
2016-12-31 00:00:00,1142167000.0,198242000.0,943925000.0,59100000.0,198253000.0,686572000.0,,-105399000.0,115564000.0,581173000.0,140528000.0,440644900.0,440645000.0,4.12,0.8264,0.6011,0.5088,0.3858,0.5835,752623000.0,686571900.0,3.4203,,4.1182,,4.1182,440644900.0,,440645000.0,0.6589,0.6067,VRSN
2016-09-30 00:00:00,1128520900.0,198138000.0,930383000.0,60555000.0,193736000.0,676092000.0,,-111393000.0,115149000.0,564699000.0,128076000.0,436623000.0,436623000.0,4.03,0.8244,0.5991,0.5004,0.3869,0.5876,746441000.0,676092000.0,3.3408,,4.0156,,4.0156,436623000.0,,436623000.0,0.6614,0.6159,VRSN
2016-06-30 00:00:00,1106746900.0,195549000.0,911198000.0,61250000.0,194170000.0,655778000.0,,-118255000.0,114774000.0,537523000.0,122870000.0,414653000.0,414653000.0,3.77,0.8233,0.5925,0.4857,0.3747,0.5847,726164000.0,655778000.0,3.147,,3.7577,,3.7577,414653000.0,,414653000.0,0.6561,0.6138,VRSN
2016-03-31 00:00:00,1082819900.0,195017000.0,887803000.0,63309000.0,196018000.0,628476000.0,,-116407000.0,114418000.0,512069000.0,117615000.0,394454000.0,394454000.0,3.52,0.8199,0.5804,0.4729,0.3643,0.6023,699958000.0,628476000.0,2.9781,,3.5143,,3.5143,394454000.0,,394454000.0,0.6464,0.6344,VRSN
2015-12-31 00:00:00,1059365900.0,192788000.0,866578000.0,63718000.0,196914000.0,605946000.0,,-118296000.0,107631000.0,487650000.0,112414000.0,375236000.0,375236000.0,3.29,0.818,0.572,0.4603,0.3542,0.594,677886000.0,605946000.0,2.8206,,3.2871,,3.2871,375236000.0,,375236000.0,0.6399,0.6324,VRSN
2015-09-30 00:00:00,1042657900.0,191269000.0,851388900.0,65842000.0,195662000.0,589884900.0,,-107138000.0,100650000.0,482747000.0,143569000.0,339178000.0,339178000.0,2.91,0.8166,0.5658,0.463,0.3253,0.5711,672204900.0,589885000.0,2.5462,,2.9306,,2.9306,339178000.0,,339178000.0,0.6447,0.6075,VRSN
2015-06-30 00:00:00,1031899900.0,190984000.0,840915900.0,67143000.0,198850000.0,574922900.0,,-102625000.0,93639000.0,472298000.0,130388000.0,341910000.0,341910000.0,2.86,0.8149,0.5571,0.4577,0.3313,0.5847,654936900.0,574923000.0,2.5335,,2.8791,,2.8791,341910000.0,,341910000.0,0.6347,0.6259,VRSN
2015-03-31 00:00:00,1019742900.0,188752000.0,830990900.0,66490000.0,195422000.0,569078900.0,,-93819000.0,86626000.0,475260000.0,126185000.0,349075000.0,349075000.0,2.83,0.8149,0.5581,0.4661,0.3423,0.5402,646230900.0,569079000.0,2.5453,,2.8494,,2.8494,349075000.0,,349075000.0,0.6337,0.5805,VRSN
2014-12-31 00:00:00,1010116900.0,188425000.0,821691900.0,67777000.0,189488000.0,564426900.0,,-81116000.0,85994000.0,483311000.0,128051000.0,355260000.0,355260000.0,2.79,0.8135,0.5588,0.4785,0.3517,0.556,638994900.0,564427000.0,2.5215,,2.8038,,2.8038,355260000.0,,355260000.0,0.6326,0.5949,VRSN
2014-09-30 00:00:00,999830000.0,187523000.0,812307000.0,68219000.0,191708000.0,552380000.0,,-73100000.0,85645000.0,479280000.0,-102657000.0,581937000.0,581937000.0,4.4,0.8124,0.5525,0.4794,0.582,0.5326,625292000.0,552380000.0,3.9288,,4.3049,,4.3049,581937000.0,,581937000.0,0.6254,0.578,VRSN
2014-06-30 00:00:00,988486000.0,187144000.0,801342000.0,69355000.0,186394000.0,545593000.0,,-70805000.0,85231000.0,474788000.0,-92858000.0,567646000.0,567646000.0,4.2,0.8107,0.5519,0.4803,0.5743,0.5037,617585000.0,545593000.0,3.7685,,4.1088,,4.1088,567646000.0,,567646000.0,0.6248,0.551,VRSN
