Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,16644000000.0,9699000000.0,6943000000.0,734000000.0,3996600000.0,1738602000.0,589000000.0,802000000.0,593500000.0,1141000000.0,336000000.0,803599800.0,803000000.0,0.66,0.4171,0.1045,0.0686,0.0482,0.1655,5224000000.0,1738602000.0,0.6614,0.6637,0.6637,803599800.0,803000000.0,0.3139,0.2003,VTRS
2022-06-30 00:00:00,17124000000.0,10154000000.0,6968000000.0,712000000.0,3964300000.0,1536102200.0,588000000.0,784000000.0,592200000.0,913000000.0,151000000.0,760799800.0,761000000.0,0.63,0.4069,0.0897,0.0533,0.0444,0.1734,5614000000.0,1536102200.0,0.6274,0.6291,0.6291,760799800.0,761000000.0,0.3278,0.2074,VTRS
2022-03-31 00:00:00,17612800000.0,11014100000.0,6597700000.0,696700000.0,4188000000.0,939602200.0,609000000.0,668700000.0,613400000.0,304900000.0,136100000.0,167699800.0,167800000.0,0.14,0.3746,0.0533,0.0173,0.0095,0.1584,5602300000.0,939602200.0,0.1385,0.1392,0.1392,167699800.0,167800000.0,0.3181,0.1878,VTRS
2021-12-31 00:00:00,17865100000.0,11941100000.0,5924000000.0,738800000.0,4459200000.0,-33998100.0,632000000.0,502600000.0,636200000.0,-664400000.0,604400000.0,-1269100200.0,-1268800000.0,-1.05,0.3316,-0.0019,-0.0372,-0.071,0.1414,5274600000.0,-33998100.0,-1.0499,-1.0499,-1.0499,-1269100200.0,-1268800000.0,0.2952,0.1689,VTRS
2021-09-30 00:00:00,17157600000.0,12204200000.0,4953400600.0,639600000.0,4737700000.0,-837499800.0,628000000.0,-226800000.0,632400000.0,-1473900000.0,446700000.0,-1921100000.0,-1920600000.0,-1.9,0.2887,-0.0488,-0.0859,-0.1119,0.1106,4168600700.0,-837500000.0,-2.4228,-2.4227,-2.4227,-1921100000.0,-1920600000.0,0.243,0.1475,VTRS
2021-06-30 00:00:00,15603700000.0,11283800000.0,4319900600.0,616400000.0,4411100000.0,-843699800.0,594000000.0,-588600000.0,597800000.0,-1432300000.0,614600000.0,-2046900000.0,-2046900000.0,-1.8,0.2769,-0.0541,-0.0918,-0.1312,0.0895,3281300800.0,-843700000.0,-2.321,-2.321,-2.321,-2046900000.0,-2046900000.0,0.2103,0.1262,VTRS
2021-03-31 00:00:00,13757100000.0,9739200000.0,4017900600.0,625000000.0,3925700000.0,-661699800.0,544000000.0,-531500000.0,546900000.0,-1193200000.0,535100000.0,-1728300000.0,-1728300000.0,-1.49,0.2921,-0.0481,-0.0867,-0.1256,0.0858,2561900500.0,-661700000.0,-2.0138,-2.0138,-2.0138,-1728300000.0,-1728300000.0,0.1862,0.1301,VTRS
2020-12-31 00:00:00,11946000000.0,8149300000.0,3796700600.0,555100000.0,3344600000.0,-210799600.0,474000000.0,-510400000.0,497800000.0,-721200000.0,-51300000.0,-669900000.0,-669900000.0,-0.59,0.3178,-0.0176,-0.0604,-0.0561,0.0463,2005300500.0,-210799800.0,-1.1143,-1.1142,-1.1142,-669900000.0,-669900000.0,0.1679,0.1031,VTRS
2020-09-30 00:00:00,11514300000.0,7336600000.0,4177700000.0,552100000.0,2637600100.0,942599600.0,464000000.0,-515100000.0,479400000.0,427500000.0,161100000.0,266400000.0,266400000.0,0.52,0.3628,0.0819,0.0371,0.0231,0.1317,2753299700.0,942599800.0,0.5154,0.516,0.516,266400000.0,266400000.0,0.2391,0.1635,VTRS
2020-06-30 00:00:00,11503900000.0,7412300000.0,4091600000.0,590200000.0,2611900100.0,914899500.0,,-543200000.0,491000000.0,371700000.0,101200000.0,270500000.0,270500000.0,0.53,0.3557,0.0795,0.0323,0.0235,0.1306,2762999500.0,914899700.0,0.5244,0.5245,0.5245,270500000.0,270500000.0,0.2402,0.1604,VTRS
2020-03-31 00:00:00,11624200000.0,7625700000.0,3998500000.0,581500000.0,2561100100.0,876199800.0,,-576600000.0,506000000.0,299600000.0,237000000.0,62600000.0,62600000.0,0.12,0.344,0.0754,0.0258,0.0054,0.1451,2809999800.0,876200000.0,0.1213,0.1214,0.1214,62600000.0,62600000.0,0.2417,0.1836,VTRS
2019-12-31 00:00:00,11500500000.0,7602900000.0,3897600000.0,639900000.0,2563600100.0,715499800.0,,-561100000.0,517300000.0,154400000.0,137600000.0,16800000.0,16800000.0,0.03,0.3389,0.0622,0.0134,0.0015,0.1215,2734799800.0,715500000.0,0.0326,0.0326,0.0326,16800000.0,16800000.0,0.2378,0.1568,VTRS
