Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,135651000000.0,75299000000.0,60352000000.0,29502000000.0,30850000000.0,3247000000.0,2570000000.0,74000000.0,25604000000.0,5817000000.0,19787000000.0,19292000000.0,4.61,0.4449,0.2274,0.1887,0.1422,0.0802,47782000000.0,30850000000.0,4.7153,4.7173,4.7173,19787000000.0,19787000000.0,0.3522,0.2696,VZ
2022-06-30 00:00:00,134325000000.0,73863000000.0,60462000000.0,28601000000.0,31861000000.0,3111000000.0,4108000000.0,53000000.0,27458000000.0,6141000000.0,21317000000.0,20799000000.0,4.99,0.4501,0.2372,0.2044,0.1548,0.0753,47827000000.0,31861000000.0,5.1018,5.104,5.104,21317000000.0,21317000000.0,0.3561,0.2737,VZ
2022-03-31 00:00:00,134300000000.0,69377000000.0,64923000000.0,28429000000.0,32474000000.0,3170000000.0,3739000000.0,876000000.0,28425000000.0,6474000000.0,21951000000.0,21400000000.0,5.15,0.4834,0.2418,0.2117,0.1593,0.0775,48139000000.0,32474000000.0,5.2728,5.2754,5.2754,21951000000.0,21951000000.0,0.3584,0.273,VZ
2021-12-31 00:00:00,133613000000.0,64313000000.0,69300000000.0,28658000000.0,32448000000.0,3485000000.0,3981000000.0,1967000000.0,29420000000.0,6802000000.0,22618000000.0,22065000000.0,5.33,0.5187,0.2429,0.2202,0.1651,-0.2121,48051000000.0,32448000000.0,5.4501,5.4527,5.4527,22618000000.0,22618000000.0,0.3596,0.2959,VZ
2021-09-30 00:00:00,134238000000.0,60088000000.0,74150000000.0,29739000000.0,32020000000.0,3826000000.0,-893000000.0,3036000000.0,29529000000.0,6930000000.0,22599000000.0,22040000000.0,5.33,0.5524,0.2385,0.22,0.1642,-0.1832,47769000000.0,32020000000.0,5.4544,5.4567,5.4567,22599000000.0,22599000000.0,0.3559,0.3014,VZ
2021-06-30 00:00:00,132866000000.0,54933000000.0,77933000000.0,30557000000.0,30793000000.0,4069000000.0,-3787000000.0,4069000000.0,27006000000.0,6457000000.0,20549000000.0,19990000000.0,4.83,0.5866,0.2318,0.2033,0.1505,-0.194,47376000000.0,30793000000.0,4.9602,4.9623,4.9623,20549000000.0,20549000000.0,0.3566,0.2909,VZ
2021-03-31 00:00:00,129549000000.0,52427000000.0,77122000000.0,30389000000.0,29989000000.0,4341000000.0,-4620000000.0,4314000000.0,25369000000.0,5930000000.0,19439000000.0,18890000000.0,4.57,0.5953,0.2315,0.1958,0.1458,-0.1777,46733000000.0,29989000000.0,4.6929,4.6948,4.6948,19439000000.0,19439000000.0,0.3607,0.3291,VZ
2020-12-31 00:00:00,128292000000.0,51201000000.0,77091000000.0,31573000000.0,28798000000.0,4274000000.0,-4831000000.0,4247000000.0,23967000000.0,5619000000.0,18348000000.0,17801000000.0,4.3,0.6009,0.2245,0.1868,0.1388,0.1534,45518000000.0,28798000000.0,4.4298,4.4319,4.4319,18348000000.0,18348000000.0,0.3548,0.3256,VZ
2020-09-30 00:00:00,128375000000.0,52010000000.0,76365000000.0,31294000000.0,28257000000.0,4353000000.0,-6831000000.0,4326000000.0,21426000000.0,2579000000.0,18847000000.0,18308000000.0,4.42,0.5949,0.2201,0.1669,0.1426,0.1351,44885000000.0,28257000000.0,4.5512,4.5536,4.5536,18847000000.0,18847000000.0,0.3496,0.323,VZ
2020-06-30 00:00:00,129726000000.0,53060000000.0,76666000000.0,31171000000.0,28759000000.0,,-6261000000.0,4428000000.0,22498000000.0,2818000000.0,19680000000.0,19145000000.0,4.63,0.591,0.2217,0.1734,0.1476,0.163,45309000000.0,28759000000.0,4.7529,4.7555,4.7555,19680000000.0,19680000000.0,0.3493,0.335,VZ
2020-03-31 00:00:00,131350000000.0,54032000000.0,77318000000.0,31283000000.0,29248000000.0,,-7627000000.0,4554000000.0,21621000000.0,2706000000.0,18915000000.0,18389000000.0,4.44,0.5886,0.2227,0.1646,0.14,0.1318,45849000000.0,29248000000.0,4.5686,4.5709,4.5709,18915000000.0,18915000000.0,0.3491,0.2854,VZ
2019-12-31 00:00:00,131868000000.0,54726000000.0,77142000000.0,29896000000.0,30378000000.0,,-7645000000.0,4730000000.0,22733000000.0,2945000000.0,19788000000.0,19265000000.0,4.66,0.585,0.2304,0.1724,0.1461,0.1282,47060000000.0,30378000000.0,4.7797,4.7821,4.7821,19788000000.0,19788000000.0,0.3569,0.2711,VZ
2019-09-30 00:00:00,131374000000.0,54386000000.0,76988000000.0,31092000000.0,24376000000.0,,-3988000000.0,4770000000.0,20388000000.0,3752000000.0,16636000000.0,16109000000.0,3.9,0.586,0.1855,0.1552,0.1226,0.1329,41305000000.0,24376000000.0,4.0168,4.019,4.019,16636000000.0,16636000000.0,0.3144,0.2652,VZ
2019-06-30 00:00:00,131087000000.0,54333000000.0,76754000000.0,31100000000.0,23871000000.0,,-3731000000.0,4835000000.0,20140000000.0,3779000000.0,16361000000.0,15839000000.0,3.83,0.5855,0.1821,0.1536,0.1208,0.1257,41063000000.0,23871000000.0,3.9504,3.9531,3.9531,16361000000.0,16361000000.0,0.3132,0.2574,VZ
2019-03-31 00:00:00,131219000000.0,55243000000.0,75976000000.0,31437000000.0,22638000000.0,,-2281000000.0,4842000000.0,20357000000.0,3824000000.0,16533000000.0,16015000000.0,3.88,0.579,0.1725,0.1551,0.122,0.1359,39948000000.0,22638000000.0,3.992,3.9954,3.9954,16533000000.0,16533000000.0,0.3044,0.265,VZ
2018-12-31 00:00:00,130863000000.0,55508000000.0,75355000000.0,31083000000.0,22278000000.0,,-2655000000.0,4833000000.0,19623000000.0,3584000000.0,16039000000.0,15528000000.0,3.77,0.5758,0.1702,0.15,0.1187,0.1242,39681000000.0,22278000000.0,3.8817,3.8853,3.8853,16039000000.0,16039000000.0,0.3032,0.2624,VZ
2018-09-30 00:00:00,130537000000.0,55775000000.0,74762000000.0,30153000000.0,27102000000.0,,-5912000000.0,4853000000.0,21190000000.0,-11567000000.0,32757000000.0,32258000000.0,7.87,0.5727,0.2076,0.1623,0.2471,0.1124,44609000000.0,27102000000.0,7.9773,7.9858,7.9858,32757000000.0,32757000000.0,0.3417,0.2611,VZ
2018-06-30 00:00:00,129647000000.0,55418000000.0,74229000000.0,30412000000.0,26415000000.0,,-6389000000.0,4806000000.0,20026000000.0,-11405000000.0,31431000000.0,30954000000.0,7.57,0.5725,0.2037,0.1545,0.2388,0.0922,43817000000.0,26415000000.0,7.6683,7.6767,7.6767,31431000000.0,31431000000.0,0.338,0.2425,VZ
2018-03-31 00:00:00,127992000000.0,54271000000.0,73721000000.0,28690000000.0,27812000000.0,,-6346000000.0,4802000000.0,21466000000.0,-10197000000.0,31663000000.0,31196000000.0,7.64,0.576,0.2173,0.1677,0.2437,0.0742,45031000000.0,27812000000.0,7.7381,7.7469,7.7469,31663000000.0,31663000000.0,0.3518,0.2312,VZ
2017-12-31 00:00:00,126034000000.0,53063000000.0,72971000000.0,28592000000.0,27425000000.0,,-6831000000.0,4733000000.0,20594000000.0,-9956000000.0,30550000000.0,30101000000.0,7.38,0.579,0.2176,0.1634,0.2388,0.0515,44379000000.0,27425000000.0,7.4713,7.4804,7.4804,30550000000.0,30550000000.0,0.3521,0.1929,VZ
2017-09-30 00:00:00,124419000000.0,53144000000.0,71275000000.0,22613000000.0,32177000000.0,,-7568000000.0,4651000000.0,24609000000.0,8242000000.0,16367000000.0,15927000000.0,3.91,0.5729,0.2586,0.1978,0.128,0.0233,48662000000.0,32177000000.0,4.0042,4.0094,4.0094,16367000000.0,16367000000.0,0.3911,0.1643,VZ
2017-06-30 00:00:00,123639000000.0,52399000000.0,71240000000.0,23356000000.0,31729000000.0,,-7055000000.0,4525000000.0,24674000000.0,8296000000.0,16378000000.0,15927000000.0,3.91,0.5762,0.2566,0.1996,0.1288,0.0058,47884000000.0,31729000000.0,4.0075,4.0132,4.0132,16378000000.0,16378000000.0,0.3873,0.1463,VZ
2017-03-31 00:00:00,123623000000.0,52136000000.0,71487000000.0,27248000000.0,28269000000.0,,-8867000000.0,4320000000.0,19402000000.0,6671000000.0,12731000000.0,12267000000.0,3.01,0.5783,0.2287,0.1569,0.0992,-0.0143,44239000000.0,28269000000.0,3.1152,3.1199,3.1199,12731000000.0,12731000000.0,0.3579,0.1259,VZ
2016-12-31 00:00:00,125980000000.0,52701000000.0,73279000000.0,28102000000.0,29249000000.0,,-8263000000.0,4376000000.0,20986000000.0,7378000000.0,13608000000.0,13127000000.0,3.22,0.5817,0.2322,0.1666,0.1042,0.0325,45177000000.0,29249000000.0,3.3304,3.3353,3.3353,13608000000.0,13608000000.0,0.3586,0.1722,VZ
2016-09-30 00:00:00,127894000000.0,51769000000.0,76125000000.0,31365000000.0,28780000000.0,,-6165000000.0,4417000000.0,22615000000.0,8094000000.0,14521000000.0,14023000000.0,3.44,0.5952,0.225,0.1768,0.1096,0.0872,44760000000.0,28780000000.0,3.5532,3.5608,3.5608,14521000000.0,14521000000.0,0.35,0.2215,VZ
2016-06-30 00:00:00,130115000000.0,52845000000.0,77270000000.0,31448000000.0,29775000000.0,,-6370000000.0,4581000000.0,23405000000.0,8460000000.0,14945000000.0,14441000000.0,3.54,0.5939,0.2288,0.1799,0.111,0.1198,45822000000.0,29775000000.0,3.659,3.6665,3.6665,14945000000.0,14945000000.0,0.3522,0.2538,VZ
