Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17478000000.0,12024000000.0,5454000000.0,2297000000.0,1073000000.0,1771000000.0,269000000.0,164000000.0,6000000.0,1503000000.0,586000000.0,917000000.0,917000000.0,2.9,0.312,0.1013,0.086,0.0525,0.0105,2979000000.0,1771000000.0,2.9011,2.9254,2.9254,917000000.0,917000000.0,0.1704,0.0781,WDC
2022-06-30 00:00:00,18793000000.0,12624000000.0,6169000000.0,2323000000.0,1117000000.0,2391000000.0,267000000.0,237000000.0,6000000.0,2123000000.0,623000000.0,1500000000.0,1500000000.0,4.75,0.3283,0.1272,0.113,0.0798,0.0411,3658000000.0,2391000000.0,4.7469,4.8077,4.8077,1500000000.0,1500000000.0,0.1946,0.1,WDC
2022-03-31 00:00:00,19185000000.0,12922000000.0,6263000000.0,2323000000.0,1148000000.0,2504000000.0,259000000.0,18000000.0,84000000.0,2208000000.0,387000000.0,1821000000.0,1821000000.0,5.83,0.3265,0.1305,0.1151,0.0949,0.0754,3765000000.0,2504000000.0,5.8236,5.8981,5.8981,1821000000.0,1821000000.0,0.1962,0.1344,WDC
2021-12-31 00:00:00,18941000000.0,12841000000.0,6100000000.0,2306000000.0,1154000000.0,2497000000.0,265000000.0,-98000000.0,164000000.0,2195000000.0,202000000.0,1993000000.0,1993000000.0,6.39,0.3221,0.1318,0.1159,0.1052,0.0682,3726000000.0,2497000000.0,6.3739,6.462,6.462,1993000000.0,1993000000.0,0.1967,0.1213,WDC
2021-09-30 00:00:00,18051000000.0,12676000000.0,5375000000.0,2266000000.0,1140000000.0,1928000000.0,282000000.0,-193000000.0,244000000.0,1634000000.0,143000000.0,1491000000.0,1491000000.0,4.8,0.2978,0.1068,0.0905,0.0826,0.063,3157000000.0,1928000000.0,4.7854,4.8576,4.8576,1491000000.0,1491000000.0,0.1749,0.1139,WDC
2021-06-30 00:00:00,16922000000.0,12401000000.0,4521000000.0,2243000000.0,1105000000.0,1220000000.0,300000000.0,-293000000.0,326000000.0,927000000.0,106000000.0,821000000.0,821000000.0,2.67,0.2672,0.0721,0.0548,0.0485,0.0529,2472000000.0,1220000000.0,2.657,2.6919,2.6919,821000000.0,821000000.0,0.1461,0.1122,WDC
2021-03-31 00:00:00,16289000000.0,12251000000.0,4038000000.0,2191000000.0,1077000000.0,806000000.0,320000000.0,-290000000.0,333000000.0,516000000.0,169000000.0,347000000.0,347000000.0,1.13,0.2479,0.0495,0.0317,0.0213,0.0099,2184000000.0,806000000.0,1.1372,1.1522,1.1522,347000000.0,347000000.0,0.1341,0.0661,WDC
2020-12-31 00:00:00,16327000000.0,12375000000.0,3952000000.0,2199000000.0,1071000000.0,642000000.0,351000000.0,-329000000.0,351000000.0,313000000.0,146000000.0,167000000.0,167000000.0,0.55,0.2421,0.0393,0.0192,0.0102,0.0137,2153000000.0,642000000.0,0.5639,0.5653,0.5653,167000000.0,167000000.0,0.1319,0.0675,WDC
2020-09-30 00:00:00,16618000000.0,12691000000.0,3927000000.0,2242000000.0,1104000000.0,534000000.0,375000000.0,-346000000.0,375000000.0,188000000.0,222000000.0,-34000000.0,-34000000.0,-0.12,0.2363,0.0321,0.0113,-0.002,0.0061,2108000000.0,534000000.0,-0.1045,-0.1044,-0.1044,-34000000.0,-34000000.0,0.1269,0.0562,WDC
2020-06-30 00:00:00,16736000000.0,12955000000.0,3781000000.0,2261000000.0,1153000000.0,335000000.0,,-381000000.0,413000000.0,-46000000.0,204000000.0,-250000000.0,-250000000.0,-0.85,0.2259,0.02,-0.0027,-0.0149,0.0106,1941000000.0,335000000.0,-0.8389,-0.8388,-0.8388,-250000000.0,-250000000.0,0.116,0.0492,WDC
2020-03-31 00:00:00,16083000000.0,12920000000.0,3163000000.0,2238000000.0,1183000000.0,-307000000.0,,-398000000.0,443000000.0,-705000000.0,-110000000.0,-595000000.0,-595000000.0,-2.01,0.1967,-0.0191,-0.0438,-0.037,0.0218,1338000000.0,-307000000.0,-1.9706,-2.0051,-2.0051,-595000000.0,-595000000.0,0.0832,0.051,WDC
2019-12-31 00:00:00,15582000000.0,12845000000.0,2737000000.0,2219000000.0,1255000000.0,-854000000.0,,-374000000.0,462000000.0,-1228000000.0,-35000000.0,-1193000000.0,-1193000000.0,-4.06,0.1757,-0.0548,-0.0788,-0.0766,0.0204,850000000.0,-854000000.0,-4.0164,-4.0517,-4.0517,-1193000000.0,-1193000000.0,0.0546,0.0567,WDC
2019-09-30 00:00:00,15581000000.0,12735000000.0,2846000000.0,2180000000.0,1266000000.0,-728000000.0,,-379000000.0,475000000.0,-1107000000.0,434000000.0,-1541000000.0,-1541000000.0,-5.27,0.1827,-0.0467,-0.071,-0.0989,0.0302,1049000000.0,-728000000.0,-5.2293,-5.2646,-5.2646,-1541000000.0,-1541000000.0,0.0673,0.0703,WDC
2019-06-30 00:00:00,16569000000.0,12817000000.0,3752000000.0,2182000000.0,1317000000.0,87000000.0,,-374000000.0,469000000.0,-287000000.0,467000000.0,-754000000.0,-754000000.0,-2.59,0.2264,0.0053,-0.0173,-0.0455,0.0477,1937000000.0,87000000.0,-2.5821,-2.5822,-2.5822,-754000000.0,-754000000.0,0.1169,0.0934,WDC
2019-03-31 00:00:00,18052000000.0,12913000000.0,5139000000.0,2236000000.0,1370000000.0,1311000000.0,,-395000000.0,466000000.0,916000000.0,717000000.0,199000000.0,199000000.0,0.61,0.2847,0.0726,0.0507,0.011,0.0738,3237000000.0,1311000000.0,0.6014,0.621,0.621,199000000.0,199000000.0,0.1793,0.1241,WDC
