Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9240900000.0,4082299900.0,5158600000.0,2174900000.0,1870600300.0,482000000.0,-204900000.0,478500000.0,1665700000.0,284400000.0,1381300000.0,1379600000.0,4.37,0.5582,0.2024,0.1803,0.1493,-0.0209,2983700300.0,1870600700.0,4.3676,4.3796,4.3796,1381300000.0,1381300000.0,0.3229,0.2257,WEC
2022-06-30 00:00:00,8984400000.0,3837899900.0,5146500000.0,2185700000.0,1856400200.0,471000000.0,-226300000.0,469000000.0,1630100000.0,261800000.0,1368300000.0,1367600000.0,4.33,0.5728,0.2066,0.1814,0.1522,0.038,2960800200.0,1856400600.0,4.3262,4.3383,4.3383,1368300000.0,1368300000.0,0.3295,0.286,WEC
2022-03-31 00:00:00,8532700000.0,3428799900.0,5103900000.0,2195900000.0,1817000100.0,470000000.0,-208300000.0,469200000.0,1608700000.0,252500000.0,1356200000.0,1356100000.0,4.3,0.5982,0.2129,0.1885,0.1589,0.0641,2908000200.0,1817000500.0,4.2876,4.2999,4.2999,1356200000.0,1356200000.0,0.3408,0.3181,WEC
2021-12-31 00:00:00,8316000000.0,3310999900.0,5005000000.0,2215800000.0,1714900000.0,470000000.0,-216100000.0,471100000.0,1498800000.0,200300000.0,1298500000.0,1300300000.0,4.13,0.6019,0.2062,0.1802,0.1564,-0.0265,2789200000.0,1714900400.0,4.1052,4.1169,4.1169,1298500000.0,1298500000.0,0.3354,0.2444,WEC
2021-09-30 00:00:00,8047500000.0,3009699900.0,5037800000.0,2230700000.0,1758599900.0,472000000.0,-227300000.0,475400000.0,1531300000.0,217000000.0,1314300100.0,1315100000.0,4.18,0.626,0.2185,0.1903,0.1634,0.0021,2807100000.0,1758599800.0,4.1561,4.167,4.167,1314300100.0,1314300100.0,0.3488,0.28,WEC
2021-06-30 00:00:00,7952000000.0,2931799900.0,5020200000.0,2259500000.0,1738799900.0,476000000.0,-233000000.0,479400000.0,1505800000.0,213100000.0,1292700100.0,1291900000.0,4.11,0.6313,0.2187,0.1894,0.1625,-0.0189,2760700000.0,1738799800.0,4.0873,4.0986,4.0986,1292700100.0,1292700100.0,0.3472,0.2569,WEC
2021-03-31 00:00:00,7824500000.0,2850399900.0,4974100000.0,2267100000.0,1708799900.0,481000000.0,-236900000.0,483800000.0,1471900000.0,212800000.0,1259100100.0,1257500000.0,4.0,0.6357,0.2184,0.1881,0.1607,-0.0387,2707000000.0,1708799800.0,3.9806,3.9921,3.9921,1259100100.0,1259100100.0,0.346,0.2429,WEC
2020-12-31 00:00:00,7241700000.0,2319499900.0,4922200000.0,2240200000.0,1706100200.0,492000000.0,-276800000.0,493700000.0,1429300000.0,227900000.0,1201400100.0,1199900000.0,3.81,0.6797,0.2356,0.1974,0.1657,-0.0059,2682000300.0,1706100100.0,3.7958,3.8092,3.8092,1201400100.0,1201400100.0,0.3704,0.3032,WEC
2020-09-30 00:00:00,7255800000.0,2355000000.0,4900800000.0,2239300100.0,1698701000.0,501000000.0,-268500000.0,503000000.0,1430200000.0,224200000.0,1206000000.0,1204800000.0,3.82,0.6754,0.2341,0.1971,0.166,0.0088,2661501000.0,1698700600.0,3.8092,3.8242,3.8242,1206000000.0,1206000000.0,0.3668,0.3383,WEC
2020-06-30 00:00:00,7212800000.0,2356500000.0,4856300000.0,2265300100.0,1639400900.0,,-277600000.0,506800000.0,1361800000.0,188600000.0,1173200000.0,1172300000.0,3.71,0.6733,0.2273,0.1888,0.1625,-0.0009,2591000900.0,1639400500.0,3.7049,3.7202,3.7202,1173200000.0,1173200000.0,0.3592,0.3374,WEC
2020-03-31 00:00:00,7254300000.0,2403900000.0,4850400000.0,2296200100.0,1615201000.0,,-298300000.0,506500000.0,1316900000.0,150000000.0,1166900000.0,1166400000.0,3.69,0.6686,0.2227,0.1815,0.1608,-0.0148,2554201000.0,1615200600.0,3.6846,3.7002,3.7002,1166900000.0,1166900000.0,0.3521,0.3171,WEC
2019-12-31 00:00:00,7523100000.0,2678800000.0,4844300000.0,2386600100.0,1531400800.0,,-271700000.0,501500000.0,1259700000.0,125000000.0,1134700000.0,1134000000.0,3.59,0.6439,0.2036,0.1674,0.1507,0.0113,2457700900.0,1531400400.0,3.5829,3.5977,3.5977,1134700000.0,1134700000.0,0.3267,0.3118,WEC
2019-09-30 00:00:00,7652400000.0,2839799900.0,4812600000.0,2446699900.0,1458100000.0,,-257400000.0,492200000.0,1200700000.0,104900000.0,1095800000.0,1095100000.0,3.47,0.6289,0.1905,0.1569,0.1431,0.0227,2365900100.0,1458100200.0,3.4594,3.4737,3.4737,1095800000.0,1095800000.0,0.3092,0.2977,WEC
2019-06-30 00:00:00,7688100000.0,2879599900.0,4808500000.0,2471799900.0,1449900100.0,,-244300000.0,478400000.0,1205600000.0,110600000.0,1095000000.0,1094000000.0,3.47,0.6254,0.1886,0.1568,0.1423,0.0218,2336700100.0,1449900300.0,3.4566,3.4709,3.4709,1095000000.0,1095000000.0,0.3039,0.2892,WEC
2019-03-31 00:00:00,7770400000.0,2935399900.0,4835000000.0,2505299900.0,1466100100.0,,-229100000.0,462800000.0,1237000000.0,146500000.0,1090500000.0,1089300000.0,3.45,0.6222,0.1887,0.1592,0.1402,0.0337,2329700100.0,1466100300.0,3.4419,3.4564,3.4564,1090500000.0,1090500000.0,0.2998,0.2943,WEC
2018-12-31 00:00:00,7679500000.0,2897899900.0,4781600000.0,2467399900.0,1468400200.0,,-238100000.0,445100000.0,1230300000.0,169800000.0,1060500000.0,1059300000.0,3.36,0.6226,0.1912,0.1602,0.1379,0.0429,2314200100.0,1468400400.0,3.3464,3.3613,3.3613,1060500000.0,1060500000.0,0.3013,0.3184,WEC
