Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,20616000000.0,17125000000.0,3491000000.0,1838000000.0,871000000.0,168000000.0,-103000000.0,167000000.0,768000000.0,361000000.0,407000000.0,-12000000.0,383000000.0,6.32,0.1693,0.0422,0.0373,0.0186,0.0348,1715000000.0,871000000.0,6.3572,6.5631,6.5631,393000000.0,393000000.0,0.0832,0.0578,WHR
2022-06-30 00:00:00,21320000000.0,17401000000.0,3919000000.0,1916000000.0,1202000000.0,172000000.0,-48000000.0,171000000.0,1154000000.0,408000000.0,746000000.0,-10000000.0,711000000.0,11.27,0.1838,0.0564,0.0541,0.0333,0.0409,2047000000.0,1202000000.0,11.472,11.7258,11.7258,734000000.0,734000000.0,0.096,0.0633,WHR
2022-03-31 00:00:00,21547000000.0,17435000000.0,4112000000.0,1964000000.0,2191000000.0,172000000.0,-31000000.0,171000000.0,2160000000.0,465000000.0,1695000000.0,,1663000000.0,27.12,0.1908,0.1017,0.1002,0.0772,0.0692,2656000000.0,2191000000.0,27.1773,27.5182,27.5182,1682000000.0,1682000000.0,0.1233,0.0773,WHR
2021-12-31 00:00:00,21985000000.0,17576000000.0,4409000000.0,2081000000.0,2348000000.0,176000000.0,-16000000.0,175000000.0,2332000000.0,518000000.0,1814000000.0,,1783000000.0,28.62,0.2005,0.1068,0.1061,0.0811,0.0888,2842000000.0,2348000000.0,28.7122,29.0821,29.0821,1806000000.0,1806000000.0,0.1293,0.099,WHR
2021-09-30 00:00:00,21968000000.0,17256000000.0,4712000000.0,2049000000.0,2571000000.0,180000000.0,-58000000.0,181000000.0,2513000000.0,504000000.0,2009000000.0,,1984000000.0,31.56,0.2145,0.117,0.1144,0.0903,0.1074,3110000000.0,2571000000.0,31.7466,32.0332,32.0332,2009000000.0,2009000000.0,0.1416,0.1087,WHR
2021-06-30 00:00:00,21771000000.0,17019000000.0,4752000000.0,2038000000.0,2582000000.0,187000000.0,-121000000.0,188000000.0,2461000000.0,545000000.0,1916000000.0,,1905000000.0,30.35,0.2183,0.1186,0.113,0.0875,0.1327,3148000000.0,2582000000.0,30.2039,30.4977,30.4977,1916000000.0,1916000000.0,0.1446,0.1328,WHR
2021-03-31 00:00:00,20489000000.0,16202000000.0,4287000000.0,1950000000.0,1970000000.0,191000000.0,-146000000.0,192000000.0,1824000000.0,468000000.0,1356000000.0,,1354000000.0,21.67,0.2092,0.0961,0.089,0.0661,0.1097,2551000000.0,1970000000.0,21.389,21.5972,21.5972,1356000000.0,1356000000.0,0.1245,0.1218,WHR
2020-12-31 00:00:00,19456000000.0,15614000000.0,3842000000.0,1877000000.0,1615000000.0,188000000.0,-168000000.0,189000000.0,1447000000.0,382000000.0,1065000000.0,,1075000000.0,17.22,0.1975,0.083,0.0744,0.0553,0.0646,2190000000.0,1615000000.0,16.8247,16.9857,16.9857,1065000000.0,1065000000.0,0.1126,0.0771,WHR
2020-09-30 00:00:00,19040000000.0,15538000000.0,3502000000.0,1916000000.0,1299000000.0,173000000.0,-197000000.0,181000000.0,1102000000.0,268000000.0,834000000.0,,848000000.0,13.88,0.1839,0.0682,0.0579,0.0445,0.0994,1857000000.0,1299000000.0,13.1542,13.2688,13.2688,834000000.0,834000000.0,0.0975,0.1157,WHR
2020-06-30 00:00:00,18840000000.0,15745000000.0,3095000000.0,1894000000.0,1429000000.0,,-184000000.0,175000000.0,1245000000.0,440000000.0,805000000.0,,814000000.0,13.15,0.1643,0.0758,0.0661,0.0432,0.1068,1982000000.0,1429000000.0,12.6155,12.7141,12.7141,805000000.0,805000000.0,0.1052,0.0693,WHR
2020-03-31 00:00:00,19984000000.0,16582000000.0,3402000000.0,2057000000.0,1549000000.0,,-139000000.0,178000000.0,1410000000.0,553000000.0,857000000.0,,851000000.0,13.64,0.1702,0.0775,0.0706,0.0426,0.0991,2129000000.0,1549000000.0,13.4163,13.5221,13.5221,857000000.0,857000000.0,0.1065,0.0656,WHR
2019-12-31 00:00:00,20419000000.0,16908000000.0,3511000000.0,2142000000.0,1549000000.0,,-19000000.0,187000000.0,1530000000.0,348000000.0,1182000000.0,,1168000000.0,18.58,0.1719,0.0759,0.0749,0.0572,0.0917,2136000000.0,1549000000.0,18.4112,18.5558,18.5558,1182000000.0,1182000000.0,0.1046,0.0602,WHR
2019-09-30 00:00:00,20697000000.0,17262000000.0,3435000000.0,2173000000.0,1456000000.0,,21000000.0,199000000.0,1477000000.0,397000000.0,1080000000.0,,1066000000.0,16.68,0.166,0.0703,0.0714,0.0515,0.0908,2053000000.0,1456000000.0,16.4082,16.4704,16.4704,1080000000.0,1080000000.0,0.0992,0.0617,WHR
2019-06-30 00:00:00,20932000000.0,17343000000.0,3589000000.0,2232000000.0,1062000000.0,,-39000000.0,206000000.0,1023000000.0,91000000.0,932000000.0,,918000000.0,14.31,0.1715,0.0507,0.0489,0.0439,0.0257,1670000000.0,1062000000.0,14.0462,14.0959,14.0959,932000000.0,932000000.0,0.0798,0.0474,WHR
2019-03-31 00:00:00,20886000000.0,17349000000.0,3537000000.0,2189000000.0,399000000.0,,-187000000.0,201000000.0,212000000.0,-9000000.0,221000000.0,,194000000.0,3.77,0.1693,0.0191,0.0102,0.0093,0.0284,1756000000.0,399000000.0,3.6789,3.7199,3.7199,221000000.0,221000000.0,0.0841,0.0501,WHR
2018-12-31 00:00:00,21037000000.0,17500000000.0,3537000000.0,2189000000.0,279000000.0,,-300000000.0,192000000.0,-21000000.0,138000000.0,-159000000.0,,-183000000.0,-2.27,0.1681,0.0133,-0.001,-0.0087,0.038,1671000000.0,279000000.0,-2.3662,-2.3662,-2.3662,-159000000.0,-159000000.0,0.0794,0.0584,WHR
2018-09-30 00:00:00,21079000000.0,17507000000.0,3572000000.0,2162000000.0,237000000.0,,-305000000.0,181000000.0,-68000000.0,533000000.0,-601000000.0,,-621000000.0,-8.67,0.1695,0.0112,-0.0032,-0.0295,0.0058,1642000000.0,237000000.0,-8.2445,-8.2433,-8.2433,-601000000.0,-601000000.0,0.0779,0.0324,WHR
2018-06-30 00:00:00,21171000000.0,17579000000.0,3592000000.0,2133000000.0,269000000.0,,-292000000.0,171000000.0,-23000000.0,522000000.0,-545000000.0,,-555000000.0,-8.14,0.1697,0.0127,-0.0011,-0.0262,0.0136,1690000000.0,269000000.0,-7.8766,-7.861,-7.861,-545000000.0,-545000000.0,0.0798,0.0411,WHR
2018-03-31 00:00:00,21378000000.0,17790000000.0,3588000000.0,2118000000.0,1015000000.0,,-217000000.0,163000000.0,798000000.0,525000000.0,273000000.0,,291000000.0,3.91,0.1678,0.0475,0.0373,0.0136,0.0181,1683000000.0,1015000000.0,3.7544,3.8054,3.8054,273000000.0,273000000.0,0.0787,0.0461,WHR
