Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4027000000.0,1826000000.0,2201000000.0,190000000.0,1564000000.0,-830000000.0,,-88000000.0,53000000.0,-925000000.0,-92000000.0,-816000000.0,,-833000000.0,,0.5466,-0.2061,-0.2297,-0.2069,0.109,695000000.0,-830000000.0,-3.8145,-3.8077,-3.8077,-816000000.0,-833000000.0,0.1726,0.1482,XRAY
2022-06-30 00:00:00,4120000000.0,1856000000.0,2264000000.0,188000000.0,1554000000.0,520000000.0,64000000.0,-72000000.0,53000000.0,429000000.0,101000000.0,345000000.0,,328000000.0,1.51,0.5495,0.1262,0.1041,0.0796,0.1209,869000000.0,520000000.0,1.5781,1.5882,1.5882,345000000.0,328000000.0,0.2109,0.1602,XRAY
2022-03-31 00:00:00,4164000000.0,1881000000.0,2283000000.0,183000000.0,1539000000.0,555000000.0,65000000.0,-27000000.0,53000000.0,472000000.0,118000000.0,368000000.0,,354000000.0,1.62,0.5483,0.1333,0.1134,0.085,0.1309,913000000.0,555000000.0,1.674,1.6881,1.6881,368000000.0,354000000.0,0.2193,0.1683,XRAY
2021-12-31 00:00:00,4221000000.0,1880000000.0,2341000000.0,178000000.0,1549000000.0,608000000.0,67000000.0,-18000000.0,55000000.0,530000000.0,133000000.0,411000000.0,,397000000.0,1.83,0.5546,0.144,0.1256,0.0941,0.122,967000000.0,608000000.0,1.8665,1.882,1.882,411000000.0,397000000.0,0.2291,0.1557,XRAY
2021-09-30 00:00:00,4224000000.0,1896000000.0,2328000000.0,161000000.0,1541000000.0,590000000.0,71000000.0,-18000000.0,57000000.0,535000000.0,125000000.0,407000000.0,,410000000.0,1.81,0.5511,0.1397,0.1267,0.0971,0.1352,955000000.0,590000000.0,1.846,1.8558,1.8558,407000000.0,410000000.0,0.2261,0.1655,XRAY
2021-06-30 00:00:00,4067000000.0,1878000000.0,2189000000.0,151000000.0,1463000000.0,530000000.0,71000000.0,-26000000.0,57000000.0,479000000.0,105000000.0,371000000.0,,373000000.0,1.68,0.5382,0.1303,0.1178,0.0917,0.1559,890000000.0,530000000.0,1.684,1.6912,1.6912,371000000.0,374000000.0,0.2188,0.1839,XRAY
2021-03-31 00:00:00,3491000000.0,1724000000.0,1767000000.0,129000000.0,1329000000.0,272000000.0,69000000.0,-47000000.0,53000000.0,225000000.0,46000000.0,179000000.0,,179000000.0,0.79,0.5062,0.0779,0.0645,0.0513,0.1765,614000000.0,272000000.0,0.81,0.8126,0.8126,179000000.0,179000000.0,0.1759,0.2028,XRAY
2020-12-31 00:00:00,3339000000.0,1683000000.0,1656000000.0,123000000.0,1302000000.0,-3000000.0,62000000.0,-47000000.0,46000000.0,-50000000.0,23000000.0,-73000000.0,,-73000000.0,-0.37,0.496,-0.0009,-0.015,-0.0219,0.1683,488000000.0,-3000000.0,-0.3331,-0.3331,-0.3331,-73000000.0,-73000000.0,0.1462,0.1944,XRAY
2020-09-30 00:00:00,3352300000.0,1666800000.0,1685500000.0,,1257899900.0,-28299800.0,45000000.0,-34600000.0,36000000.0,-62900000.0,29700000.0,-92600000.0,,-92600000.0,-0.36,0.5028,-0.0084,-0.0188,-0.0276,0.176,452100200.0,-28299900.0,-0.4264,-0.4245,-0.4245,-92600000.0,-92600000.0,0.1349,0.206,XRAY
2020-06-30 00:00:00,3431400000.0,1663900000.0,1767500000.0,,1344199900.0,9200100.0,,-22600000.0,28600000.0,-13400000.0,42200000.0,-55600000.0,,-54600000.0,-0.23,0.5151,0.0027,-0.0039,-0.0159,0.1546,480900100.0,9200000.0,-0.2675,-0.2632,-0.2632,-55600000.0,-55600000.0,0.1401,0.1832,XRAY
