Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6713000000.0,3478000000.0,3235000000.0,2778000000.0,2111000000.0,509000000.0,87000000.0,518000000.0,1642000000.0,358000000.0,1284000000.0,1284000000.0,3.81,0.4819,0.3145,0.2446,0.1913,0.1697,2288000000.0,2111000000.0,4.3867,,4.4493,,4.4493,1284000000.0,,1284000000.0,0.3408,0.2069,YUM
2022-06-30 00:00:00,6679000000.0,3479000000.0,3200000000.0,2374000000.0,2092000000.0,511000000.0,122000000.0,520000000.0,1646000000.0,165000000.0,1481000000.0,1481000000.0,4.99,0.4791,0.3132,0.2464,0.2217,0.1815,2267000000.0,2092000000.0,4.9897,,5.0717,,5.0717,1481000000.0,,1481000000.0,0.3394,0.2178,YUM
2022-03-31 00:00:00,6645000000.0,3056000000.0,3589000000.0,2326000000.0,2105000000.0,531000000.0,-56000000.0,531000000.0,1663000000.0,15000000.0,1648000000.0,1648000000.0,5.53,0.5401,0.3168,0.2503,0.248,0.2119,2302000000.0,2105000000.0,5.5035,,5.6006,,5.6006,1648000000.0,,1648000000.0,0.3464,0.246,YUM
2021-12-31 00:00:00,6584000000.0,2653000000.0,3931000000.0,2261000000.0,2139000000.0,544000000.0,-207000000.0,544000000.0,1674000000.0,99000000.0,1575000000.0,1575000000.0,5.26,0.5971,0.3249,0.2543,0.2392,0.2242,2348000000.0,2139000000.0,5.2153,,5.3031,,5.3031,1575000000.0,,1575000000.0,0.3566,0.2591,YUM
2021-09-30 00:00:00,6437000000.0,2096000000.0,4341000000.0,2171000000.0,2119000000.0,544000000.0,-371000000.0,548000000.0,1619000000.0,42000000.0,1577000000.0,1577000000.0,5.25,0.6744,0.3292,0.2515,0.245,0.24,2281000000.0,2119000000.0,5.1848,,5.2837,,5.2837,1577000000.0,,1577000000.0,0.3544,0.2709,YUM
2021-06-30 00:00:00,6279000000.0,1668000000.0,4611000000.0,2488000000.0,2063000000.0,575000000.0,-579000000.0,583000000.0,1484000000.0,152000000.0,1332000000.0,1332000000.0,4.44,0.7344,0.3286,0.2363,0.2121,0.2451,2234000000.0,2063000000.0,4.3583,,4.4339,,4.4339,1332000000.0,,1332000000.0,0.3558,0.2733,YUM
2021-03-31 00:00:00,5875000000.0,1600000000.0,4275000000.0,2409000000.0,1796000000.0,548000000.0,-462000000.0,556000000.0,1334000000.0,187000000.0,1147000000.0,1147000000.0,3.81,0.7277,0.3057,0.2271,0.1952,0.2078,1954000000.0,1796000000.0,3.7431,,3.8017,,3.8017,1147000000.0,,1147000000.0,0.3326,0.2368,YUM
2020-12-31 00:00:00,5652000000.0,1506000000.0,4146000000.0,2378000000.0,1503000000.0,535000000.0,-483000000.0,543000000.0,1020000000.0,116000000.0,904000000.0,904000000.0,3.0,0.7335,0.2659,0.1805,0.1599,0.2026,1649000000.0,1503000000.0,2.9446,,2.9934,,2.9934,904000000.0,,904000000.0,0.2918,0.2309,YUM
2020-09-30 00:00:00,5603000000.0,1431000000.0,4172000000.0,2338000000.0,1567000000.0,542000000.0,-502000000.0,543000000.0,1065000000.0,5000000.0,1060000000.0,1060000000.0,3.51,0.7446,0.2797,0.1901,0.1892,0.1961,1695000000.0,1567000000.0,3.4306,,3.4921,,3.4921,1060000000.0,,1060000000.0,0.3025,0.2293,YUM
2020-06-30 00:00:00,5494000000.0,1324000000.0,4170000000.0,2301000000.0,1576000000.0,,-527000000.0,502000000.0,1049000000.0,17000000.0,1032000000.0,1032000000.0,3.4,0.759,0.2869,0.1909,0.1878,0.1873,1687000000.0,1576000000.0,3.3235,,3.3914,,3.3914,1032000000.0,,1032000000.0,0.3071,0.2213,YUM
